"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Zmays_RefGen_V4_Se_7_162502247","OG0001707","Se","Zm00001d021761","Zmays_RefGen_V4",7,162502247,162402247,162602247,162527404,162529059,"(1 of 2) PTHR10641:SF586 - MYB TRANSCRIPTION FACTOR-RELATED",4,1,0,0.454,0.4368,0.4368
"Gmax_Wm82.a2.v1_Se_10_39288636","OG0000730","Se","Glyma.10G157800","Gmax_Wm82.a2.v1",10,39288636,39088636,39599079,39191358,39192971,"K14490 - histidine-containing phosphotransfer peotein (AHP)  (1 of 19)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_11_1170503","OG0002214","Se","Glyma.11G019800","Gmax_Wm82.a2.v1",11,1170503,970503,1573262,1390065,1393520,"PTHR31071:SF9 - INTRACELLULAR PROTEIN TRANSPORT PROTEIN USO1-LIKE PROTEIN (1 of 2)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_11_421061","OG0004906","Se","Glyma.11G006900","Gmax_Wm82.a2.v1",11,421061,221061,780183,487543,492345,"PTHR12446:SF21 - CRC DOMAIN-CONTAINING PROTEIN TSO1-RELATED (1 of 4)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_11_4948302","OG0001271","Se","Glyma.11G063500","Gmax_Wm82.a2.v1",11,4948302,4748302,5211270,4800168,4802119,"PTHR12313:SF12 - RING ZINC FINGER PROTEIN-RELATED (1 of 2)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_11_9081988","OG0001744","Se","Glyma.11G119800","Gmax_Wm82.a2.v1",11,9081988,8881988,9283067,9138785,9142228,"2.4.1.37 - Fucosylgalactoside 3-alpha-galactosyltransferase / galactosyltransferase (1 of 4)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_12_39400458","OG0008913","Se","Glyma.12G236600","Gmax_Wm82.a2.v1",12,39400458,39200458,39600458,39536770,39546818,"",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_13_10218763","OG0006107","Se","Glyma.13G032400","Gmax_Wm82.a2.v1",13,10218763,10018763,10824869,10365449,10376174,"",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_13_18383168","OG0000018","Se","Glyma.13G077700","Gmax_Wm82.a2.v1",13,18383168,18183168,18731998,18335396,18340061,"PF00464//PF13947 - Serine hydroxymethyltransferase (SHMT)  // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)  (1 of 1)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_13_20400034","OG0001475","Se","Glyma.13G090900","Gmax_Wm82.a2.v1",13,20400034,20200034,20765648,20569584,20573299,"K02267 - cytochrome c oxidase subunit 6b (COX6B)  (1 of 5)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_13_21067848","OG0000549","Se","Glyma.13G094300","Gmax_Wm82.a2.v1",13,21067848,20867848,21295928,20946885,20949674,"PTHR11926:SF292 - UDP-GLYCOSYLTRANSFERASE 78D1-RELATED (1 of 1)",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
"Gmax_Wm82.a2.v1_Se_13_25927261","OG0003066","Se","Glyma.13G146800","Gmax_Wm82.a2.v1",13,25927261,25727261,26127261,25986503,25989299,"",3,1,0,0.348764705882353,0.390741176470588,0.390741176470588
