"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Cu_10_6726554","OG0000306","Cu","Glyma.10G069600","Gmax_Wm82.a2.v1",10,6726554,6526554,6926554,6844179,6847098,"PTHR24073:SF457 - RAS-RELATED PROTEIN RABA1H (1 of 2)",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Gmax_Wm82.a2.v1_Cu_14_2757432","OG0000441","Cu","Glyma.14G035800","Gmax_Wm82.a2.v1",14,2757432,2557432,3167355,2672381,2676894,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Gmax_Wm82.a2.v1_Cu_2_45991978","OG0000441","Cu","Glyma.02G278900","Gmax_Wm82.a2.v1",2,45991978,45791978,46191978,46119184,46126479,"PTHR24349:SF131 - CALCIUM-DEPENDENT PROTEIN KINASE 17-RELATED (1 of 2)",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Gmax_Wm82.a2.v1_Cu_6_21400435","OG0000103","Cu","Glyma.06G213300","Gmax_Wm82.a2.v1",6,21400435,21200435,21600435,21548690,21565666,"",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Gmax_Wm82.a2.v1_Cu_6_6069381","OG0000049","Cu","Glyma.06G076100","Gmax_Wm82.a2.v1",6,6069381,5869381,6299232,5893905,5901500,"K01535 - H+-transporting ATPase (E3.6.3.6)  (1 of 24)",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Gmax_Wm82.a2.v1_Cu_9_38964919","OG0000103","Cu","Glyma.09G167100","Gmax_Wm82.a2.v1",9,38964919,38764919,39164919,39114301,39121390,"PTHR22891//PTHR22891:SF34 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED (1 of 2)",4,1,0,0.235308823529412,0.611752941176471,0.611752941176471
"Osativa_v7.0_Cu_7_10839323","OG0000060","Cu","LOC_Os07g18240","Osativa_v7.0",7,10839323,10596323,11082323,10810102,10813191,"lectin-like receptor kinase, putative, expressed",4,1,0,0.290478260869565,0.567617391304348,0.567617391304348
"Osativa_v7.0_Cu_8_2500797","OG0001863","Cu","LOC_Os08g04890","Osativa_v7.0",8,2500797,2257797,2743797,2495070,2496026,"OsCML32 - Calmodulin-related calcium sensor protein, expressed",4,1,0,0.290478260869565,0.567617391304348,0.567617391304348
"Gmax_Wm82.a2.v1_Cu_10_50044631","OG0001009","Cu","Glyma.10G281000","Gmax_Wm82.a2.v1",10,50044631,49844631,50365708,50214835,50221594,"PTHR31314:SF10 - HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED (1 of 6)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_11_30088092","OG0000306","Cu","Glyma.11G210900","Gmax_Wm82.a2.v1",11,30088092,29888092,30523940,30360616,30363340,"PTHR24073:SF457 - RAS-RELATED PROTEIN RABA1H (1 of 2)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_13_26827446","OG0000049","Cu","Glyma.13G156000","Gmax_Wm82.a2.v1",13,26827446,26627446,27501888,27104338,27109785,"PTHR24093:SF257 - ATPASE 6, PLASMA MEMBRANE-TYPE (1 of 3)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_15_13405162","OG0000049","Cu","Glyma.15G162600","Gmax_Wm82.a2.v1",15,13405162,13205162,14147058,13923374,13932194,"K01535 - H+-transporting ATPase (E3.6.3.6)  (1 of 24)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_18_42958430","OG0000060","Cu","Glyma.18G185400","Gmax_Wm82.a2.v1",18,42958430,42758430,44684861,44566780,44569341,"PTHR27007:SF13 - L-TYPE LECTIN-DOMAIN CONTAINING RECEPTOR KINASE IV.1-RELATED (1 of 2)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_18_4344194","OG0000148","Cu","Glyma.18G051400","Gmax_Wm82.a2.v1",18,4344194,4144194,4551795,4433776,4438576,"",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_20_35173671","OG0001009","Cu","Glyma.20G108600","Gmax_Wm82.a2.v1",20,35173671,34973671,35509217,35099991,35104464,"PTHR31314:SF10 - HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED (1 of 6)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_2_46601391","OG0001485","Cu","Glyma.02G285900","Gmax_Wm82.a2.v1",2,46601391,46401391,46873107,46674263,46676939,"PTHR31221:SF37 - WRKY TRANSCRIPTION FACTOR 71-RELATED (1 of 2)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_4_50144186","OG0000148","Cu","Glyma.04G238800","Gmax_Wm82.a2.v1",4,50144186,49944186,51527251,50751900,50755419,"K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E, UBC4, UBC5)  (1 of 19)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_5_2213518","OG0000049","Cu","Glyma.05G030700","Gmax_Wm82.a2.v1",5,2213518,2013518,2918523,2636251,2642721,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Gmax_Wm82.a2.v1_Cu_6_10143832","OG0000148","Cu","Glyma.06G124900","Gmax_Wm82.a2.v1",6,10143832,9943832,10343832,10168532,10171636,"K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E, UBC4, UBC5)  (1 of 19)",4,2,0.5,0.235308823529412,0.305876470588235,0.550577647058824
"Zmays_RefGen_V4_Cu_10_138550372","OG0001009","Cu","Zm00001d026106","Zmays_RefGen_V4",10,138550372,138450372,138650372,138569154,138572986,"",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Zmays_RefGen_V4_Cu_2_192768835.466667","OG0000103","Cu","Zm00001d005921","Zmays_RefGen_V4",2,192768835.466667,192665953,192870219,192820700,192821501,"(1 of 1) PTHR22891//PTHR22891:SF36 - EUKARYOTIC TRANSLATION INITIATION FACTOR 2C // SUBFAMILY NOT NAMED",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Zmays_RefGen_V4_Cu_2_31939064","OG0002784","Cu","Zm00001d003089","Zmays_RefGen_V4",2,31939064,31839064,32039064,31848132,31854253,"(1 of 2) PTHR21726//PTHR21726:SF36 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Zmays_RefGen_V4_Cu_3_190156620","OG0000441","Cu","Zm00001d043150","Zmays_RefGen_V4",3,190156620,190056620,190256620,190207243,190210350,"(1 of 1497) 2.7.11.1 - Non-specific serine/threonine protein kinase / Threonine-specific protein kinase",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Zmays_RefGen_V4_Cu_5_215546849","OG0008516","Cu","Zm00001d018147","Zmays_RefGen_V4",5,215546849,215446849,215646849,215514651,215519823,"(1 of 4) 6.1.1.20 - Phenylalanine--tRNA ligase / Phenylalanyl-tRNA synthetase",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Zmays_RefGen_V4_Cu_9_134020808","OG0001863","Cu","Zm00001d047535","Zmays_RefGen_V4",9,134020808,133920808,134120808,134086410,134087372,"(1 of 2) PTHR10891//PTHR10891:SF602 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED",4,1,0,0.335384615384615,0.531692307692308,0.531692307692308
"Gmax_Wm82.a2.v1_Cu_12_37132147","OG0000306","Cu","Glyma.12G212400","Gmax_Wm82.a2.v1",12,37132147,36932147,37332147,37135278,37140014,"PTHR24073:SF544 - RAS-RELATED PROTEIN RABA1A (1 of 3)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_13_16420792","OG0000049","Cu","Glyma.13G065400","Gmax_Wm82.a2.v1",13,16420792,16220792,17201366,16468213,16475472,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_14_1135184","OG0001485","Cu","Glyma.14G028900","Gmax_Wm82.a2.v1",14,1135184,935184,2242679,2102301,2105264,"PTHR31221:SF37 - WRKY TRANSCRIPTION FACTOR 71-RELATED (1 of 2)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_14_46864822","OG0000148","Cu","Glyma.14G205700","Gmax_Wm82.a2.v1",14,46864822,46664822,47389207,47085767,47091016,"K06689 - ubiquitin-conjugating enzyme E2 D/E (UBE2D_E, UBC4, UBC5)  (1 of 19)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_17_2195337","OG0000198","Cu","Glyma.17G028200","Gmax_Wm82.a2.v1",17,2195337,1995337,2653238,2100648,2103397,"",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_17_2195337","OG0006645","Cu","Glyma.17G028100","Gmax_Wm82.a2.v1",17,2195337,1995337,2653238,2098365,2101584,"3.7.1.5 - Acylpyruvate hydrolase (1 of 2)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_3_44055029","OG0000149","Cu","Glyma.03G251500","Gmax_Wm82.a2.v1",3,44055029,43855029,44791609,44723994,44729654,"PTHR11668:SF259 - SERINE/THREONINE-PROTEIN PHOSPHATASE PP1 ISOZYME 2-RELATED (1 of 8)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_6_2104129","OG0000149","Cu","Glyma.06G027300","Gmax_Wm82.a2.v1",6,2104129,1904129,2552768,2111883,2113374,"PTHR11668//PTHR11668:SF244 - SERINE/THREONINE PROTEIN PHOSPHATASE // SUBFAMILY NOT NAMED (1 of 1)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_6_509847","OG0000429","Cu","Glyma.06G008400","Gmax_Wm82.a2.v1",6,509847,309847,709847,652644,654330,"",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_7_42459910","OG0000198","Cu","Glyma.07G245800","Gmax_Wm82.a2.v1",7,42459910,42259910,42659910,42477262,42479561,"PTHR10992:SF829 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN (1 of 2)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_7_42459910","OG0006645","Cu","Glyma.07G245900","Gmax_Wm82.a2.v1",7,42459910,42259910,42659910,42479727,42483842,"3.7.1.5 - Acylpyruvate hydrolase (1 of 2)",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_7_43825613","OG0000575","Cu","Glyma.07G262600","Gmax_Wm82.a2.v1",7,43825613,43625613,44025613,43705173,43710789,"",4,3,0.666666666666667,0.235308823529412,0.203917647058823,0.530185882352941
"Gmax_Wm82.a2.v1_Cu_12_38410004","OG0000306","Cu","Glyma.12G230600","Gmax_Wm82.a2.v1",12,38410004,38210004,39415085,39043148,39046928,"PTHR24073:SF432 - RAS-RELATED PROTEIN RABA1C-RELATED (1 of 2)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_15_8682725","OG0000575","Cu","Glyma.15G110200","Gmax_Wm82.a2.v1",15,8682725,8482725,8882725,8634006,8639001,"",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_15_8682725","OG0001009","Cu","Glyma.15G109100","Gmax_Wm82.a2.v1",15,8682725,8482725,8882725,8571358,8575239,"PF00249 - Myb-like DNA-binding domain (Myb_DNA-binding)  (1 of 577)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_5_31963188","OG0001485","Cu","Glyma.05G127600","Gmax_Wm82.a2.v1",5,31963188,31763188,32238967,32073512,32075954,"PTHR31221:SF19 - WRKY TRANSCRIPTION FACTOR 28-RELATED (1 of 2)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_8_17824366","OG0000733","Cu","Glyma.08G217800","Gmax_Wm82.a2.v1",8,17824366,17624366,18024366,17676081,17681757,"PTHR12663//PTHR12663:SF5 - ANDROGEN INDUCED INHIBITOR OF PROLIFERATION  AS3  / PDS5-RELATED // SUBFAMILY NOT NAMED (1 of 3)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_9_378194","OG0000575","Cu","Glyma.09G005600","Gmax_Wm82.a2.v1",9,378194,178194,583566,433287,438269,"PTHR13683:SF286 - ASPARTIC PROTEINASE A1-RELATED (1 of 2)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_9_378194","OG0001009","Cu","Glyma.09G004500","Gmax_Wm82.a2.v1",9,378194,178194,583566,364833,368899,"PF00249 - Myb-like DNA-binding domain (Myb_DNA-binding)  (1 of 577)",4,4,0.75,0.235308823529412,0.152938235294118,0.51999
"Gmax_Wm82.a2.v1_Cu_10_3384270","OG0002784","Cu","Glyma.10G042300","Gmax_Wm82.a2.v1",10,3384270,3184270,3798580,3771569,3776706,"PTHR21726//PTHR21726:SF36 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED (1 of 4)",4,5,0.8,0.235308823529412,0.122350588235294,0.513872470588235
"Gmax_Wm82.a2.v1_Cu_16_30009486","OG0001563","Cu","Glyma.16G145300","Gmax_Wm82.a2.v1",16,30009486,29809486,31098590,30604586,30608656,"",4,5,0.8,0.235308823529412,0.122350588235294,0.513872470588235
"Gmax_Wm82.a2.v1_Cu_20_46460889","OG0000198","Cu","Glyma.20G237500","Gmax_Wm82.a2.v1",20,46460889,46260889,47224906,46939747,46941500,"PTHR10992:SF907 - ALPHA/BETA-HYDROLASES SUPERFAMILY PROTEIN (1 of 8)",4,5,0.8,0.235308823529412,0.122350588235294,0.513872470588235
"Sbicolor_v3.1.1_Cu_5_69905125","OG0000429","Cu","Sobic.005G213500","Sbicolor_v3.1.1",5,69905125,69805125,70005125,69978777,69981181,"1.14.11.32 - Codeine 3-O-demethylase / Codeine O-demethylase (1 of 6)",4,1,0,0.360125,0.5119,0.5119
