"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Mn_4_23625783","OG0000048","Mn","Glyma.04G142700","Gmax_Wm82.a2.v1",4,23625783,23425783,26987764,24964360,24969309,"PTHR13301:SF63 - CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 4 [UDP-FORMING] (1 of 3)",5,1,0,0.058125,0.941875,0.941875
"Gmax_Wm82.a2.v1_Mn_4_35006185","OG0000048","Mn","Glyma.04G153700","Gmax_Wm82.a2.v1",4,35006185,34806185,36680919,35198815,35203827,"PTHR13301//PTHR13301:SF28 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED (1 of 4)",5,1,0,0.058125,0.941875,0.941875
"Gmax_Wm82.a2.v1_Mn_6_5140584","OG0000048","Mn","Glyma.06G069600","Gmax_Wm82.a2.v1",6,5140584,4940584,5340936,5338316,5344365,"PTHR13301:SF33 - CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 1 [UDP-FORMING] (1 of 2)",5,1,0,0.058125,0.941875,0.941875
"Sbicolor_v3.1.1_Mn_10_53940240","OG0000048","Mn","Sobic.010G196300","Sbicolor_v3.1.1",10,53940240,53840240,54040240,53946265,53952387,"PTHR13301:SF27 - CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 2 [UDP-FORMING]-RELATED (1 of 1)",5,1,0,0.0676,0.9324,0.9324
"Gmax_Wm82.a2.v1_Mn_15_3182673","OG0000070","Mn","Glyma.15G043200","Gmax_Wm82.a2.v1",15,3182673,2982673,3382673,3372833,3382848,"",5,2,0.5,0.058125,0.4709375,0.8476875
"Gmax_Wm82.a2.v1_Mn_4_5534280","OG0000048","Mn","Glyma.04G067900","Gmax_Wm82.a2.v1",4,5534280,5334280,5735170,5686681,5692676,"PTHR13301:SF33 - CELLULOSE SYNTHASE A CATALYTIC SUBUNIT 1 [UDP-FORMING] (1 of 2)",5,2,0.5,0.058125,0.4709375,0.8476875
"Gmax_Wm82.a2.v1_Mn_10_5954167","OG0000070","Mn","Glyma.10G062400","Gmax_Wm82.a2.v1",10,5954167,5754167,6638305,5870029,5870340,"K11254 - histone H4 (H4)  (1 of 20)",5,3,0.666666666666667,0.058125,0.313958333333333,0.816291666666667
"Gmax_Wm82.a2.v1_Mn_13_31649378","OG0000048","Mn","Glyma.13G202500","Gmax_Wm82.a2.v1",13,31649378,31449378,32356462,31619752,31630932,"",5,3,0.666666666666667,0.058125,0.313958333333333,0.816291666666667
"Gmax_Wm82.a2.v1_Mn_16_31698574","OG0000048","Mn","Glyma.16G165900","Gmax_Wm82.a2.v1",16,31698574,31498574,32998239,32487231,32496298,"2.4.1.29 - Cellulose synthase (GDP-forming) / GDP-glucose-cellulose glucosyltransferase (1 of 5)",5,3,0.666666666666667,0.058125,0.313958333333333,0.816291666666667
"Gmax_Wm82.a2.v1_Mn_2_39080951","OG0000048","Mn","Glyma.02G205800","Gmax_Wm82.a2.v1",2,39080951,38880951,39533124,39076970,39082328,"PTHR13301//PTHR13301:SF28 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED (1 of 4)",5,3,0.666666666666667,0.058125,0.313958333333333,0.816291666666667
