"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Mg_12_616806","OG0006680","Mg","Glyma.12G008700","Gmax_Wm82.a2.v1",12,616806,416806,816806,640807,649209,"",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_16_13090","OG0000246","Mg","Glyma.16G005400","Gmax_Wm82.a2.v1",16,13090,1,398520,371582,376051,"",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_18_15018031","OG0001309","Mg","Glyma.18G123500","Gmax_Wm82.a2.v1",18,15018031,14818031,16182294,15898792,15901216,"PTHR24326:SF176 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-13-RELATED (1 of 5)",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_19_2473033","OG0001309","Mg","Glyma.19G021100","Gmax_Wm82.a2.v1",19,2473033,2273033,2673033,2270857,2274561,"PTHR24326:SF264 - HOMEOBOX-LEUCINE ZIPPER PROTEIN ATHB-20-RELATED (1 of 4)",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_20_42075128","OG0000848","Mg","Glyma.20G184000","Gmax_Wm82.a2.v1",20,42075128,41875128,42275128,42206674,42211314,"",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_4_7868252","OG0000236","Mg","Glyma.04G092600","Gmax_Wm82.a2.v1",4,7868252,7668252,8300398,8158031,8160711,"PTHR18860:SF27 - 14-3-3-LIKE PROTEIN GF14 LAMBDA (1 of 4)",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_4_8516644","OG0000236","Mg","Glyma.04G099900","Gmax_Wm82.a2.v1",4,8516644,8316644,9253777,9132954,9135203,"",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_6_7421034","OG0000236","Mg","Glyma.06G094400","Gmax_Wm82.a2.v1",6,7421034,7221034,7621034,7432085,7434388,"PTHR18860:SF27 - 14-3-3-LIKE PROTEIN GF14 LAMBDA (1 of 4)",4,1,0,0.254203125,0.5966375,0.5966375
"Gmax_Wm82.a2.v1_Mg_9_6928198","OG0000246","Mg","Glyma.09G068500","Gmax_Wm82.a2.v1",9,6928198,6728198,7135889,6937814,6941687,"PTHR12321:SF61 - PHD FINGER PROTEIN ALFIN-LIKE 5 (1 of 2)",4,1,0,0.254203125,0.5966375,0.5966375
"Sbicolor_v3.1.1_Mg_10_5314100","OG0000408","Mg","Sobic.010G067100","Sbicolor_v3.1.1",10,5314100,5214100,5414100,5381291,5386950,"similar to Glutathione peroxidase",4,1,0,0.28572,0.571424,0.571424
