"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Osativa_v7.0_Zn_9_13270220","OG0002082","Zn","LOC_Os09g21740","Osativa_v7.0",9,13270220,13027220,13513220,13164076,13166366,"armadillo/beta-catenin repeat family protein, putative, expressed",4,1,0,0.3845,0.4924,0.4924
"Sbicolor_v3.1.1_Zn_1_24790295","OG0010134","Zn","Sobic.001G240100","Sbicolor_v3.1.1",1,24790295,24690295,24890295,24695479,24698511,"similar to Secondary cell wall-related glycosyltransferase family 14, putative, expressed",4,1,0,0.436785714285714,0.450571428571429,0.450571428571429
"Sbicolor_v3.1.1_Zn_1_54138523","OG0002082","Zn","Sobic.001G277700","Sbicolor_v3.1.1",1,54138523,54038523,54343630,54133502,54137545,"PTHR23315//PTHR23315:SF79 - BETA CATENIN-RELATED ARMADILLO REPEAT-CONTAINING // SUBFAMILY NOT NAMED (1 of 3)",4,1,0,0.436785714285714,0.450571428571429,0.450571428571429
"Sbicolor_v3.1.1_Zn_4_61997738","OG0001306","Zn","Sobic.004G276133","Sbicolor_v3.1.1",4,61997738,61897738,62097738,61938035,61939813,"PF03087 - Arabidopsis protein of unknown function (DUF241)  (1 of 39)",4,1,0,0.436785714285714,0.450571428571429,0.450571428571429
"Sbicolor_v3.1.1_Zn_5_71366936","OG0000409","Zn","Sobic.005G226100","Sbicolor_v3.1.1",5,71366936,71266936,71466936,71302053,71302604,"weakly similar to Zinc finger, C2H2 type, putative",4,1,0,0.436785714285714,0.450571428571429,0.450571428571429
"Sbicolor_v3.1.1_Zn_6_2362735","OG0001595","Zn","Sobic.006G015500","Sbicolor_v3.1.1",6,2362735,2262735,2462735,2371217,2406434,"PTHR22597:SF0 - POLYCOMB PROTEIN SUZ12 (1 of 1)",4,1,0,0.436785714285714,0.450571428571429,0.450571428571429
"Osativa_v7.0_Zn_4_4313879","OG0001595","Zn","LOC_Os04g08034","Osativa_v7.0",4,4313879,4070879,4556879,4274885,4290697,"ZOS4-02 - C2H2 zinc finger protein, expressed",4,2,0.5,0.3845,0.2462,0.44316
"Gmax_Wm82.a2.v1_Zn_12_33479176","OG0000409","Zn","Glyma.12G178900","Gmax_Wm82.a2.v1",12,33479176,33279176,33976738,33869988,33872144,"PF13912 - C2H2-type zinc finger (zf-C2H2_6)  (1 of 91)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_13_24535142","OG0000409","Zn","Glyma.13G133000","Gmax_Wm82.a2.v1",13,24535142,24335142,24735142,24534355,24534885,"PTHR26374:SF198 - ZINC FINGER PROTEIN ZAT11 (1 of 12)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_16_14301936","OG0000932","Zn","Glyma.16G091300","Gmax_Wm82.a2.v1",16,14301936,14101936,14501936,14155790,14161854,"PTHR11945:SF155 - AGAMOUS-LIKE MADS-BOX PROTEIN AGL8-RELATED (1 of 6)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_17_40829472","OG0002887","Zn","Glyma.17G256400","Gmax_Wm82.a2.v1",17,40829472,40629472,41049700,41027342,41029223,"PTHR10108//PTHR10108:SF837 - METHYLTRANSFERASE // SUBFAMILY NOT NAMED (1 of 3)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_19_37467999","OG0010134","Zn","Glyma.19G117600","Gmax_Wm82.a2.v1",19,37467999,37267999,37674466,37378187,37383287,"PTHR19297:SF93 - CORE-2/I-BRANCHING BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE FAMILY PROTEIN (1 of 2)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_19_44590449","OG0000409","Zn","Glyma.19G186200","Gmax_Wm82.a2.v1",19,44590449,44390449,45109407,44483640,44485048,"PF13912 - C2H2-type zinc finger (zf-C2H2_6)  (1 of 91)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_19_950947","OG0002082","Zn","Glyma.19G013500","Gmax_Wm82.a2.v1",19,950947,750947,1386213,1275080,1277652,"PTHR23315:SF127 - U-BOX DOMAIN-CONTAINING PROTEIN 40 (1 of 2)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_4_48301210","OG0000212","Zn","Glyma.04G213100","Gmax_Wm82.a2.v1",4,48301210,48101210,48501210,48485249,48499658,"K11000 - callose synthase [EC:2.4.1.-] Glc b1-3 Glc (CALS)  (1 of 18)",4,1,0,0.478,0.4176,0.4176
"Gmax_Wm82.a2.v1_Zn_6_12552691","OG0000212","Zn","Glyma.06G153100","Gmax_Wm82.a2.v1",6,12552691,12352691,12752691,12495442,12500348,"2.4.1.34 - 1,3-beta-glucan synthase / UDP-glucose-1,3-beta-D-glucan glucosyltransferase (1 of 33)",4,1,0,0.478,0.4176,0.4176
"Osativa_v7.0_Zn_2_35495744","OG0000409","Zn","LOC_Os02g57790","Osativa_v7.0",2,35495744,35252744,35738744,35389604,35390587,"ZOS2-19 - C2H2 zinc finger protein, expressed",4,8,0.875,0.3845,0.06155,0.40623
"Osativa_v7.0_Zn_8_24273412","OG0000636","Zn","LOC_Os08g38110","Osativa_v7.0",8,24273412,24030412,24516412,24143230,24144696,"cytokinin-O-glucosyltransferase 1, putative, expressed",4,8,0.875,0.3845,0.06155,0.40623
"Sbicolor_v3.1.1_Zn_1_78728262","OG0000212","Zn","Sobic.001G521500","Sbicolor_v3.1.1",1,78728262,78628262,78876002,78651133,78669729,"similar to Putative callose synthase 1 catalytic subunit",4,2,0.5,0.436785714285714,0.225285714285714,0.405514285714286
"Osativa_v7.0_Zn_6_30881885","OG0000212","Zn","LOC_Os06g51270","Osativa_v7.0",6,30881885,30638885,31124892,31033381,31048512,"1,3-beta-glucan synthase component domain containing protein, expressed",4,9,0.888888888888889,0.3845,0.0547111111111111,0.404862222222222
"Osativa_v7.0_Zn_6_30881885","OG0001306","Zn","LOC_Os06g50980","Osativa_v7.0",6,30881885,30638885,31124892,30855270,30856121,"expressed protein",4,9,0.888888888888889,0.3845,0.0547111111111111,0.404862222222222
"Osativa_v7.0_Zn_6_30881885","OG0001306","Zn","LOC_Os06g51000","Osativa_v7.0",6,30881885,30638885,31124892,30866013,30866879,"carrier, putative, expressed",4,9,0.888888888888889,0.3845,0.0547111111111111,0.404862222222222
"Osativa_v7.0_Zn_6_30881885","OG0001306","Zn","LOC_Os06g51010","Osativa_v7.0",6,30881885,30638885,31124892,30868978,30870035,"expressed protein",4,9,0.888888888888889,0.3845,0.0547111111111111,0.404862222222222
"Osativa_v7.0_Zn_3_28873913","OG0001755","Zn","LOC_Os03g50450","Osativa_v7.0",3,28873913,28630913,29116913,28795423,28799255,"inactive receptor kinase At2g26730 precursor, putative, expressed",4,10,0.9,0.3845,0.04924,0.403768
"Osativa_v7.0_Zn_6_7310390","OG0002082","Zn","LOC_Os06g13080","Osativa_v7.0",6,7310390,7067390,7553390,7181648,7183586,"spotted leaf 11, putative, expressed",4,10,0.9,0.3845,0.04924,0.403768
"Osativa_v7.0_Zn_6_7310390","OG0002082","Zn","LOC_Os06g13090","Osativa_v7.0",6,7310390,7067390,7553390,7186601,7188076,"armadillo/beta-catenin repeat family protein, putative, expressed",4,10,0.9,0.3845,0.04924,0.403768
"Osativa_v7.0_Zn_10_21164109","OG0003043","Zn","LOC_Os10g40640","Osativa_v7.0",10,21164109,20921109,21836458,21798920,21802986,"glycosyl transferase 8 domain containing protein, putative, expressed",4,16,0.9375,0.3845,0.030775,0.400075
