"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Co_13_1252428","OG0000423","Co","Glyma.13G004400","Gmax_Wm82.a2.v1",13,1252428,1052428,2100612,1216127,1220851,"",4,1,0,0.259557142857143,0.592354285714286,0.592354285714286
"Gmax_Wm82.a2.v1_Co_13_35561769","OG0000332","Co","Glyma.13G248200","Gmax_Wm82.a2.v1",13,35561769,35361769,35828185,35636606,35637937,"PTHR10891//PTHR10891:SF585 - EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 6)",4,1,0,0.259557142857143,0.592354285714286,0.592354285714286
"Gmax_Wm82.a2.v1_Co_13_38366685","OG0000332","Co","Glyma.13G283600","Gmax_Wm82.a2.v1",13,38366685,38166685,38566685,38485648,38487299,"PTHR23050//PTHR23050:SF170 - CALCIUM BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 7)",4,1,0,0.259557142857143,0.592354285714286,0.592354285714286
"Gmax_Wm82.a2.v1_Co_4_7973935","OG0000569","Co","Glyma.04G092800","Gmax_Wm82.a2.v1",4,7973935,7773935,8442452,8187556,8190394,"PTHR10177:SF213 - CYCLIN-D4-1-RELATED (1 of 5)",4,1,0,0.259557142857143,0.592354285714286,0.592354285714286
"Gmax_Wm82.a2.v1_Co_8_45363919","OG0002921","Co","Glyma.08G335600","Gmax_Wm82.a2.v1",8,45363919,45163919,45563919,45253451,45259757,"PTHR13976:SF40 - RNA-BINDING (RRM/RBD/RNP MOTIFS) FAMILY PROTEIN (1 of 2)",4,1,0,0.259557142857143,0.592354285714286,0.592354285714286
"Gmax_Wm82.a2.v1_Co_13_13778961","OG0000249","Co","Glyma.13G043900","Gmax_Wm82.a2.v1",13,13778961,13578961,13978961,13723276,13725395,"PTHR31279:SF12 - PHI-1-LIKE PROTEIN (1 of 4)",4,2,0.5,0.259557142857143,0.296177142857143,0.533118857142857
"Gmax_Wm82.a2.v1_Co_15_49608746","OG0000423","Co","Glyma.15G262800","Gmax_Wm82.a2.v1",15,49608746,49408746,49813752,49558181,49560745,"PTHR11040//PTHR11040:SF59 - ZINC/IRON TRANSPORTER // SUBFAMILY NOT NAMED (1 of 2)",4,2,0.5,0.259557142857143,0.296177142857143,0.533118857142857
"Gmax_Wm82.a2.v1_Co_17_13232243","OG0000566","Co","Glyma.17G155200","Gmax_Wm82.a2.v1",17,13232243,13032243,13600574,13112585,13118577,"",4,2,0.5,0.259557142857143,0.296177142857143,0.533118857142857
"Gmax_Wm82.a2.v1_Co_20_20469910","OG0000423","Co","Glyma.20G063100","Gmax_Wm82.a2.v1",20,20469910,20269910,20669910,20456755,20460316,"PTHR11040:SF35 - ZINC TRANSPORTER 3-RELATED (1 of 2)",4,2,0.5,0.259557142857143,0.296177142857143,0.533118857142857
"Zmays_RefGen_V4_Co_2_85361594.5769231","OG0005915","Co","Zm00001d004132","Zmays_RefGen_V4",2,85361594.5769231,85137294,85536079,85448480,85453083,"(1 of 99) 3.4.23.12 - Nepenthesin / Nepenthes aspartic proteinase",4,1,0,0.335807692307692,0.531353846153846,0.531353846153846
