"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Cd_18_49547271","OG0000899","Cd","Glyma.18G209800","Gmax_Wm82.a2.v1",18,49547271,49347271,49747271,49526729,49530144,"PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 13)",5,2,0.5,0.122714285714286,0.438642857142857,0.789557142857143
"Zmays_RefGen_V4_Cd_6_168822893","OG0000306","Cd","Zm00001d039016","Zmays_RefGen_V4",6,168822893,168722893,168922893,168723799,168725535,"(1 of 5) PTHR24073//PTHR24073:SF553 - FAMILY NOT NAMED // RAS-RELATED PROTEIN RABA1G",5,4,0.75,0.08575,0.2285625,0.7771125
"Sbicolor_v3.1.1_Cd_3_58846980","OG0000306","Cd","Sobic.003G250340","Sbicolor_v3.1.1",3,58846980,58746980,58946980,58870755,58873665,"similar to Putative uncharacterized protein",5,10,0.9,0.056,0.0944,0.77408
"Sbicolor_v3.1.1_Cd_2_8713058","OG0000899","Cd","Sobic.002G082400","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8814845,8816203,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,16,0.9375,0.056,0.059,0.767
"Sbicolor_v3.1.1_Cd_2_8713058","OG0000899","Cd","Sobic.002G082500","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8825781,8826321,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,16,0.9375,0.056,0.059,0.767
"Sbicolor_v3.1.1_Cd_2_8713058","OG0000899","Cd","Sobic.002G082600","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8843384,8845841,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,16,0.9375,0.056,0.059,0.767
"Sbicolor_v3.1.1_Cd_2_8713058","OG0000899","Cd","Sobic.002G082800","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8852665,8853949,"similar to Putative uncharacterized protein OSJNBa0086N05.106",5,16,0.9375,0.056,0.059,0.767
"Sbicolor_v3.1.1_Cd_2_8713058","OG0002774","Cd","Sobic.002G083000","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8878263,8881628,"similar to Cation-transporting ATPase",5,16,0.9375,0.056,0.059,0.767
"Sbicolor_v3.1.1_Cd_2_8713058","OG0002774","Cd","Sobic.002G083100","Sbicolor_v3.1.1",2,8713058,8613058,8979057,8884421,8888126,"similar to Cation-transporting ATPase",5,16,0.9375,0.056,0.059,0.767
"Gmax_Wm82.a2.v1_Cd_3_5100069","OG0000899","Cd","Glyma.03G040900","Gmax_Wm82.a2.v1",3,5100069,4900069,5300069,5164999,5166689,"PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED (1 of 13)",5,3,0.666666666666667,0.122714285714286,0.292428571428571,0.760314285714286
"Zmays_RefGen_V4_Cd_2_162963402","OG0000899","Cd","Zm00001d005193","Zmays_RefGen_V4",2,162963402,162863402,163338949,163079620,163082144,"(1 of 2) PTHR31087:SF11 - PROTEIN LURP-ONE-RELATED 1-RELATED",5,8,0.875,0.08575,0.11428125,0.75425625
"Zmays_RefGen_V4_Cd_2_162963402","OG0002774","Cd","Zm00001d005189","Zmays_RefGen_V4",2,162963402,162863402,163338949,163016710,163020248,"(1 of 4) 3.6.3.5 - Zinc-exporting ATPase / Zn(2+)-exporting ATPase",5,8,0.875,0.08575,0.11428125,0.75425625
"Zmays_RefGen_V4_Cd_2_162963402","OG0002774","Cd","Zm00001d005190","Zmays_RefGen_V4",2,162963402,162863402,163338949,163038225,163041426,"(1 of 4) 3.6.3.5 - Zinc-exporting ATPase / Zn(2+)-exporting ATPase",5,8,0.875,0.08575,0.11428125,0.75425625
"Athaliana_TAIR10_Cd_2_8252719","OG0002774","Cd","AT2G19110","Athaliana_TAIR10",2,8252719,8177719,8327719,8278881,8286445,"heavy metal atpase 4",5,6,0.833333333333333,0.1042,0.1493,0.7465
"Athaliana_TAIR10_Cd_4_14733389","OG0002774","Cd","AT4G30110","Athaliana_TAIR10",4,14733389,14658389,14808393,14720241,14724584,"heavy metal atpase 2",5,7,0.857142857142857,0.1042,0.127971428571429,0.742234285714286
"Athaliana_TAIR10_Cd_4_14733389","OG0002774","Cd","AT4G30120","Athaliana_TAIR10",4,14733389,14658389,14808393,14730401,14733510,"heavy metal atpase 3",5,7,0.857142857142857,0.1042,0.127971428571429,0.742234285714286
"Gmax_Wm82.a2.v1_Cd_13_36991637","OG0000306","Cd","Glyma.13G269000","Gmax_Wm82.a2.v1",13,36991637,36791637,37727009,37128405,37133047,"PTHR24073:SF432 - RAS-RELATED PROTEIN RABA1C-RELATED (1 of 2)",5,5,0.8,0.122714285714286,0.175457142857143,0.73692
"Gmax_Wm82.a2.v1_Cd_11_30295247","OG0000306","Cd","Glyma.11G210900","Gmax_Wm82.a2.v1",11,30295247,30095247,30495247,30360616,30363340,"PTHR24073:SF457 - RAS-RELATED PROTEIN RABA1H (1 of 2)",5,6,0.833333333333333,0.122714285714286,0.146214285714286,0.731071428571429
"Athaliana_TAIR10_Cd_1_12348948","OG0000899","Cd","AT1G33840","Athaliana_TAIR10",1,12348948,12273948,12423948,12283862,12285306,"Protein of unknown function (DUF567)",5,16,0.9375,0.1042,0.0559875,0.7278375
"Athaliana_TAIR10_Cd_1_9991058","OG0000306","Cd","AT1G28550","Athaliana_TAIR10",1,9991058,9916058,10326075,10036966,10037698,"RAB GTPase homolog A1I",5,18,0.944444444444444,0.1042,0.0497666666666667,0.726593333333333
"Gmax_Wm82.a2.v1_Cd_9_49283401","OG0000899","Cd","Glyma.09G279000","Gmax_Wm82.a2.v1",9,49283401,49083401,49914992,49431550,49433717,"",5,13,0.923076923076923,0.122714285714286,0.0674835164835164,0.715325274725275
"Gmax_Wm82.a2.v1_Cd_7_36599603","OG0000306","Cd","Glyma.07G202900","Gmax_Wm82.a2.v1",7,36599603,36399603,39045896,37200612,37205297,"K07904//K07976 - Ras-related protein Rab-11A (RAB11A)  // Rab family, other (RAB)  (1 of 1)",5,32,0.96875,0.122714285714286,0.0274151785714286,0.707311607142857
"Gmax_Wm82.a2.v1_Cd_9_3700452","OG0002774","Cd","Glyma.09G055600","Gmax_Wm82.a2.v1",9,3700452,3500452,6035047,4960066,4967273,"3.6.3.5 - Zinc-exporting ATPase / Zn(2+)-exporting ATPase (1 of 3)",5,34,0.970588235294118,0.122714285714286,0.0258025210084034,0.706989075630252
"Osativa_v7.0_Cd_6_20799368","OG0000306","Cd","LOC_Os06g35814","Osativa_v7.0",6,20799368,20556368,21281069,20896027,20901716,"ras-related protein, putative, expressed",5,14,0.928571428571429,0.209333333333333,0.0564761904761905,0.643828571428571
"Osativa_v7.0_Cd_7_6750728","OG0000899","Cd","LOC_Os07g12730","Osativa_v7.0",7,6750728,6507728,9779620,7272856,7274721,"DUF567 domain containing protein, putative, expressed",5,29,0.96551724137931,0.209333333333333,0.0272643678160919,0.637986206896552
"Osativa_v7.0_Cd_7_6750728","OG0002774","Cd","LOC_Os07g12900","Osativa_v7.0",7,6750728,6507728,9779620,7405745,7409553,"cadmium/zinc-transporting ATPase, putative, expressed",5,29,0.96551724137931,0.209333333333333,0.0272643678160919,0.637986206896552
"Gmax_Wm82.a2.v1_Cd_13_17558664","OG0000232","Cd","Glyma.13G074800","Gmax_Wm82.a2.v1",13,17558664,17358664,17870971,17765288,17766633,"PTHR23050:SF166 - CALMODULIN-5 (1 of 2)",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_16_14837151","OG0008514","Cd","Glyma.16G092500","Gmax_Wm82.a2.v1",16,14837151,14637151,15037151,14726014,14744004,"",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_19_19931048","OG0000232","Cd","Glyma.19G068300","Gmax_Wm82.a2.v1",19,19931048,19731048,20250747,20123959,20126811,"PTHR23050:SF153 - CALMODULIN-1-RELATED (1 of 6)",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_3_10458887","OG0000287","Cd","Glyma.03G063900","Gmax_Wm82.a2.v1",3,10458887,10258887,10658887,10258579,10265061,"PTHR22950:SF256 - AUXIN TRANSPORTER PROTEIN 1-RELATED (1 of 5)",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_8_19366334","OG0000960","Cd","Glyma.08G232600","Gmax_Wm82.a2.v1",8,19366334,19166334,19566334,19216622,19224146,"6.3.4.2 - CTP synthase (glutamine hydrolyzing) / UTP--ammonia ligase (1 of 8)",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_9_8503841","OG0008514","Cd","Glyma.09G078400","Gmax_Wm82.a2.v1",9,8503841,8303841,8935596,8738961,8744802,"",4,1,0,0.277270758122744,0.578183393501805,0.578183393501805
"Gmax_Wm82.a2.v1_Cd_15_5241013","OG0008803","Cd","Glyma.15G070000","Gmax_Wm82.a2.v1",15,5241013,5041013,5462353,5346678,5351788,"",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_18_41847559","OG0001257","Cd","Glyma.18G176300","Gmax_Wm82.a2.v1",18,41847559,41647559,42087139,42037305,42039192,"PF02701 - Dof domain, zinc finger (zf-Dof)  (1 of 79)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_18_9661360","OG0000664","Cd","Glyma.18G097700","Gmax_Wm82.a2.v1",18,9661360,9461360,10193875,10138776,10140456,"PTHR22950:SF280 - TRANSMEMBRANE AMINO ACID TRANSPORTER FAMILY PROTEIN (1 of 9)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_19_15019854","OG0000414","Cd","Glyma.19G065000","Gmax_Wm82.a2.v1",19,15019854,14819854,17082461,16364464,16365863,"PF07816 - Protein of unknown function (DUF1645) (DUF1645)  (1 of 26)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_1_3863726","OG0000699","Cd","Glyma.01G035300","Gmax_Wm82.a2.v1",1,3863726,3663726,4063726,3678713,3680543,"PF14009 - Domain of unknown function (DUF4228) (DUF4228)  (1 of 81)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_2_38852316","OG0000048","Cd","Glyma.02G205800","Gmax_Wm82.a2.v1",2,38852316,38652316,39079085,39076970,39082328,"PTHR13301//PTHR13301:SF28 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED (1 of 4)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_4_31769980","OG0000564","Cd","Glyma.04G149300","Gmax_Wm82.a2.v1",4,31769980,31569980,32087248,31852285,31855252,"PTHR31561:SF3 - 3-KETOACYL-COA SYNTHASE 11 (1 of 4)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_4_31769980","OG0000911","Cd","Glyma.04G149200","Gmax_Wm82.a2.v1",4,31769980,31569980,32087248,31840180,31842316,"K11251 - histone H2A (H2A)  (1 of 24)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_4_9767205","OG0001698","Cd","Glyma.04G104800","Gmax_Wm82.a2.v1",4,9767205,9567205,10045365,9961940,9963156,"PTHR33059:SF4 - F28K19.24-RELATED (1 of 6)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
"Gmax_Wm82.a2.v1_Cd_8_47117318","OG0001257","Cd","Glyma.08G358100","Gmax_Wm82.a2.v1",8,47117318,46917318,47317318,47021035,47023023,"PF02701 - Dof domain, zinc finger (zf-Dof)  (1 of 79)",4,2,0.5,0.277270758122744,0.289091696750903,0.520365054151625
