"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Sr_10_37188800","OG0000104","Sr","Glyma.10G137600","Gmax_Wm82.a2.v1",10,37188800,36988800,37388800,37137523,37143916,"PTHR24221:SF205 - ABC TRANSPORTER B FAMILY MEMBER 11-RELATED (1 of 11)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_10_6220803","OG0000490","Sr","Glyma.10G065600","Gmax_Wm82.a2.v1",10,6220803,6020803,6800506,6289213,6296293,"K13680 - beta-mannan synthase [EC:2.4.1.32] Man b1-4 Man (CSLA)  (1 of 11)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_11_10996359","OG0000109","Sr","Glyma.11G145100","Gmax_Wm82.a2.v1",11,10996359,10796359,11511777,11144477,11150703,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_13_41351719","OG0000490","Sr","Glyma.13G319600","Gmax_Wm82.a2.v1",13,41351719,41151719,41551719,41398196,41403950,"PTHR32044:SF17 - GLUCOMANNAN 4-BETA-MANNOSYLTRANSFERASE 2 (1 of 3)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_13_42101529","OG0000109","Sr","Glyma.13G324700","Gmax_Wm82.a2.v1",13,42101529,41901529,42595355,41978496,41983456,"PTHR31223:SF23 - CYTOKININ RIBOSIDE 5'-MONOPHOSPHATE PHOSPHORIBOHYDROLASE LOG1 (1 of 4)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_14_2762413","OG0000232","Sr","Glyma.14G040600","Gmax_Wm82.a2.v1",14,2762413,2562413,3913128,3043239,3045398,"PTHR23050:SF153 - CALMODULIN-1-RELATED (1 of 6)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_14_47539423","OG0000109","Sr","Glyma.14G218100","Gmax_Wm82.a2.v1",14,47539423,47339423,48547260,48333380,48339146,"",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_15_6739968","OG0000104","Sr","Glyma.15G090200","Gmax_Wm82.a2.v1",15,6739968,6539968,8187208,6938882,6944456,"PTHR24221:SF204 - ABC TRANSPORTER B FAMILY MEMBER 7-RELATED (1 of 2)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_17_4477386","OG0001100","Sr","Glyma.17G059500","Gmax_Wm82.a2.v1",17,4477386,4277386,4677386,4509206,4514474,"PTHR22951//PTHR22951:SF17 - CLATHRIN ASSEMBLY PROTEIN // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_18_53718636","OG0001043","Sr","Glyma.18G258900","Gmax_Wm82.a2.v1",18,53718636,53518636,54556540,54438113,54440679,"K02915 - large subunit ribosomal protein L34e (RP-L34e, RPL34)  (1 of 6)",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
"Gmax_Wm82.a2.v1_Sr_19_1985708","OG0011782","Sr","Glyma.19G020800","Gmax_Wm82.a2.v1",19,1985708,1785708,2270686,2239682,2245052,"",3,1,0,0.680615384615385,0.191630769230769,0.191630769230769
