"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_S_7_64331182","OG0001099","S","Sobic.007G215200","Sbicolor_v3.1.1",7,64331182,64231182,64431182,64366368,64370919,"similar to Chromosome chr7 scaffold_20, whole genome shotgun sequence",4,1,0,0.288090909090909,0.569527272727273,0.569527272727273
"Zmays_RefGen_V4_S_6_155062454","OG0001015","S","Zm00001d038352","Zmays_RefGen_V4",6,155062454,154962454,155162454,155011567,155014793,"(1 of 3) PTHR33738:SF1 - EMB|CAB82975.1",4,2,0.5,0.269444444444444,0.292222222222222,0.526
"Sbicolor_v3.1.1_S_3_67534128","OG0001015","S","Sobic.003G356400","Sbicolor_v3.1.1",3,67534128,67434128,67634128,67488026,67491345,"",4,3,0.666666666666667,0.288090909090909,0.189842424242424,0.493590303030303
"Zmays_RefGen_V4_S_6_7337851","OG0000201","S","Zm00001d035157","Zmays_RefGen_V4",6,7337851,7237851,7437851,7246875,7250944,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,5,0.8,0.269444444444444,0.116888888888889,0.490933333333333
"Zmays_RefGen_V4_S_6_7337851","OG0000201","S","Zm00001d035161","Zmays_RefGen_V4",6,7337851,7237851,7437851,7394931,7396934,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,5,0.8,0.269444444444444,0.116888888888889,0.490933333333333
"Zmays_RefGen_V4_S_6_7337851","OG0000201","S","Zm00001d035162","Zmays_RefGen_V4",6,7337851,7237851,7437851,7402215,7405017,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,5,0.8,0.269444444444444,0.116888888888889,0.490933333333333
"Zmays_RefGen_V4_S_6_7337851","OG0000201","S","Zm00001d035163","Zmays_RefGen_V4",6,7337851,7237851,7437851,7409171,7417031,"(1 of 10) PTHR22950:SF235 - LYSINE HISTIDINE TRANSPORTER 1-RELATED",4,5,0.8,0.269444444444444,0.116888888888889,0.490933333333333
"Zmays_RefGen_V4_S_8_16475907","OG0000369","S","Zm00001d008664","Zmays_RefGen_V4",8,16475907,16375773,16576041,16422036,16423332,"(1 of 2) PTHR10502//PTHR10502:SF113 - ANNEXIN // SUBFAMILY NOT NAMED",4,6,0.833333333333333,0.269444444444444,0.0974074074074074,0.487037037037037
"Zmays_RefGen_V4_S_8_16475907","OG0000892","S","Zm00001d008665","Zmays_RefGen_V4",8,16475907,16375773,16576041,16424145,16426175,"(1 of 3) PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED",4,6,0.833333333333333,0.269444444444444,0.0974074074074074,0.487037037037037
"Zmays_RefGen_V4_S_8_16475907","OG0007090","S","Zm00001d008662","Zmays_RefGen_V4",8,16475907,16375773,16576041,16399018,16402947,"(1 of 2) PTHR12875//PTHR12875:SF0 - UNCHARACTERIZED // GOLGI TO ER TRAFFIC PROTEIN 4 HOMOLOG",4,6,0.833333333333333,0.269444444444444,0.0974074074074074,0.487037037037037
