"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Mo_2_41789966","OG0000051","Mo","Glyma.02G230200","Gmax_Wm82.a2.v1",2,41789966,41589966,41998184,41771303,41775425,"",4,1,0,0.350340659340659,0.519727472527473,0.519727472527473
"Gmax_Wm82.a2.v1_Mo_5_34069665","OG0002047","Mo","Glyma.05G148200","Gmax_Wm82.a2.v1",5,34069665,33869665,34332184,34242457,34245196,"PTHR12612 - NUCLEAR TRANSPORT FACTOR 2 (1 of 5)",4,1,0,0.350340659340659,0.519727472527473,0.519727472527473
"Gmax_Wm82.a2.v1_Mo_6_10260260","OG0000900","Mo","Glyma.06G126400","Gmax_Wm82.a2.v1",6,10260260,10060260,10460260,10356650,10362151,"PTHR24078//PTHR24078:SF262 - DNAJ HOMOLOG SUBFAMILY C MEMBER // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.350340659340659,0.519727472527473,0.519727472527473
"Gmax_Wm82.a2.v1_Mo_10_41649823","OG0000051","Mo","Glyma.10G181200","Gmax_Wm82.a2.v1",10,41649823,41449823,41849823,41475653,41477462,"PTHR31165:SF13 - PROTEIN LIGHT-DEPENDENT SHORT HYPOCOTYLS 1-RELATED (1 of 2)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_12_38711814","OG0000084","Mo","Glyma.12G226600","Gmax_Wm82.a2.v1",12,38711814,38511814,38913725,38650006,38651354,"PF00847 - AP2 domain (AP2)  (1 of 354)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_16_30654715","OG0000074","Mo","Glyma.16G145100","Gmax_Wm82.a2.v1",16,30654715,30454715,30877411,30578388,30581421,"PTHR10992:SF820 - METHYLESTERASE 1-RELATED (1 of 11)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_16_30654715","OG0000074","Mo","Glyma.16G145200","Gmax_Wm82.a2.v1",16,30654715,30454715,30877411,30586018,30588859,"PTHR10992:SF820 - METHYLESTERASE 1-RELATED (1 of 11)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_19_23820642","OG0000717","Mo","Glyma.19G070800","Gmax_Wm82.a2.v1",19,23820642,23620642,25883351,23789922,23792176,"PTHR23180:SF268 - CALCIUM-DEPENDENT LIPID-BINDING DOMAIN-CONTAINING PROTEIN (1 of 4)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_4_15902706","OG0000009","Mo","Glyma.04G124300","Gmax_Wm82.a2.v1",4,15902706,15702706,16188826,16092707,16099713,"PTHR31669:SF26 - PROTEIN FAR-RED ELONGATED HYPOCOTYL 3 (1 of 2)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_8_4806741","OG0004876","Mo","Glyma.08G062600","Gmax_Wm82.a2.v1",8,4806741,4606741,5158147,4817430,4821371,"PTHR14255:SF3 - SULFITE EXPORTER TAUE/SAFE FAMILY PROTEIN (1 of 3)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_9_38018579","OG0000900","Mo","Glyma.09G155400","Gmax_Wm82.a2.v1",9,38018579,37818579,38218579,37848195,37851767,"PTHR24078//PTHR24078:SF208 - DNAJ HOMOLOG SUBFAMILY C MEMBER // SUBFAMILY NOT NAMED (1 of 2)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Gmax_Wm82.a2.v1_Mo_9_41212551","OG0000058","Mo","Glyma.09G191300","Gmax_Wm82.a2.v1",9,41212551,41012551,41647051,41601397,41605614,"PTHR27001:SF89 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK1-RELATED (1 of 4)",4,2,0.5,0.350340659340659,0.259863736263736,0.467754725274725
"Sbicolor_v3.1.1_Mo_4_49256905","OG0000900","Mo","Sobic.004G155600","Sbicolor_v3.1.1",4,49256905,49156905,49356905,49232785,49236916,"similar to Heat shock protein-like",4,1,0,0.433120689655172,0.453503448275862,0.453503448275862
"Sbicolor_v3.1.1_Mo_8_47762595","OG0003694","Mo","Sobic.008G100700","Sbicolor_v3.1.1",8,47762595,47662595,47862595,47695374,47702005,"similar to Putative GRF-interacting factor 3",4,1,0,0.433120689655172,0.453503448275862,0.453503448275862
"Gmax_Wm82.a2.v1_Mo_10_6280977","OG0000851","Mo","Glyma.10G066700","Gmax_Wm82.a2.v1",10,6280977,6080977,6855121,6469910,6473508,"4.1.2.13 - Fructose-bisphosphate aldolase / Fructose-1,6-bisphosphate triosephosphate-lyase (1 of 15)",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
"Gmax_Wm82.a2.v1_Mo_11_33593723","OG0000031","Mo","Glyma.11G241800","Gmax_Wm82.a2.v1",11,33593723,33393723,33795671,33586053,33587570,"K11253 - histone H3 (H3)  (1 of 22)",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
"Gmax_Wm82.a2.v1_Mo_14_3763434","OG0000002","Mo","Glyma.14G048100","Gmax_Wm82.a2.v1",14,3763434,3563434,3963434,3731114,3734460,"PF00069//PF00560//PF08263//PF13855 - Protein kinase domain (Pkinase)  // Leucine Rich Repeat (LRR_1)  // Leucine rich repeat N-terminal domain (LRRNT_2)  // Leucine rich repeat (LRR_8)  (1 of 88)",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
"Gmax_Wm82.a2.v1_Mo_14_3763434","OG0000084","Mo","Glyma.14G050100","Gmax_Wm82.a2.v1",14,3763434,3563434,3963434,3931766,3932937,"",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
"Gmax_Wm82.a2.v1_Mo_15_49900488","OG0002641","Mo","Glyma.15G265500","Gmax_Wm82.a2.v1",15,49900488,49700488,50100488,50038201,50042051,"PTHR13683:SF280 - ASPARTYL PROTEASE FAMILY PROTEIN (1 of 2)",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
"Gmax_Wm82.a2.v1_Mo_15_51033721","OG0000048","Mo","Glyma.15G275000","Gmax_Wm82.a2.v1",15,51033721,50833721,51416859,51338547,51347555,"PTHR13301//PTHR13301:SF61 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED (1 of 2)",4,3,0.666666666666667,0.350340659340659,0.173242490842491,0.450430476190476
