"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_P_10_4038861","OG0000363","P","Glyma.10G044700","Gmax_Wm82.a2.v1",10,4038861,3838861,4601072,3984850,3988829,"",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_10_48860704","OG0009979","P","Glyma.10G264500","Gmax_Wm82.a2.v1",10,48860704,48660704,49060704,48875304,48876827,"PF12854//PF13041//PF13812 - PPR repeat (PPR_1)  // PPR repeat family (PPR_2)  // Pentatricopeptide repeat domain (PPR_3)  (1 of 6)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_10_50562912","OG0000381","P","Glyma.10G284500","Gmax_Wm82.a2.v1",10,50562912,50362912,50770148,50500978,50510728,"K15601 - lysine-specific demethylase 3 [EC:1.14.11.-] (KDM3)  (1 of 12)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_11_33013647","OG0001883","P","Glyma.11G236300","Gmax_Wm82.a2.v1",11,33013647,32813647,33595478,33112560,33118486,"",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_11_7606123","OG0004233","P","Glyma.11G100300","Gmax_Wm82.a2.v1",11,7606123,7406123,7836733,7600686,7602300,"PTHR10381:SF11 - ATP-DEPENDENT CLP PROTEASE PROTEOLYTIC SUBUNIT, MITOCHONDRIAL-RELATED (1 of 2)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_11_9462961","OG0000277","P","Glyma.11G124500","Gmax_Wm82.a2.v1",11,9462961,9262961,9662989,9466533,9468193,"PTHR22595//PTHR22595:SF61 - CHITINASE-RELATED // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_12_2969081","OG0001500","P","Glyma.12G039900","Gmax_Wm82.a2.v1",12,2969081,2769081,3169081,2877655,2880570,"K01527 - nascent polypeptide-associated complex subunit beta (EGD1, BTF3)  (1 of 4)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_12_39674853","OG0000048","P","Glyma.12G237000","Gmax_Wm82.a2.v1",12,39674853,39474853,39881547,39586913,39594790,"PTHR13301//PTHR13301:SF79 - X-BOX TRANSCRIPTION FACTOR-RELATED // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_12_6224858","OG0000103","P","Glyma.12G083500","Gmax_Wm82.a2.v1",12,6224858,6024858,6697552,6649319,6655621,"PTHR22891:SF40 - PROTEIN ARGONAUTE 5 (1 of 7)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
"Gmax_Wm82.a2.v1_P_12_9149774","OG0000892","P","Glyma.12G103100","Gmax_Wm82.a2.v1",12,9149774,8949774,9389112,9186005,9187910,"PTHR31241:SF2 - DEHYDRATION-RESPONSIVE ELEMENT-BINDING PROTEIN 2A-RELATED (1 of 8)",3,1,0,0.342384090909091,0.394569545454545,0.394569545454545
