"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Zmays_RefGen_V4_Ca_3_210106248","OG0002041","Ca","Zm00001d043784","Zmays_RefGen_V4",3,210106248,210006248,210206248,210169696,210174351,"(1 of 3) PTHR22937//PTHR22937:SF63 - RING FINGER CONTAINING PROTEIN // SUBFAMILY NOT NAMED",5,2,0.5,0.078,0.461,0.8298
"Athaliana_TAIR10_Ca_1_27790569","OG0002041","Ca","AT1G73760","Athaliana_TAIR10",1,27790569,27715569,27889527,27739168,27741207,"RING/U-box superfamily protein",5,6,0.833333333333333,0.0515,0.158083333333333,0.790416666666667
"Athaliana_TAIR10_Ca_1_6150830","OG0002041","Ca","AT1G17970","Athaliana_TAIR10",1,6150830,6075830,6225830,6184904,6187472,"RING/U-box superfamily protein",5,6,0.833333333333333,0.0515,0.158083333333333,0.790416666666667
"Gmax_Wm82.a2.v1_Ca_5_41780982","OG0002041","Ca","Glyma.05G241900","Gmax_Wm82.a2.v1",5,41780982,41580982,42093109,41697530,41701571,"PTHR22937:SF18 - F6A14.12 PROTEIN-RELATED (1 of 4)",5,3,0.666666666666667,0.1205,0.293166666666667,0.762233333333333
"Gmax_Wm82.a2.v1_Ca_7_9341030","OG0002041","Ca","Glyma.07G097700","Gmax_Wm82.a2.v1",7,9341030,9141030,9749242,9180670,9186248,"PTHR22937:SF18 - F6A14.12 PROTEIN-RELATED (1 of 4)",5,3,0.666666666666667,0.1205,0.293166666666667,0.762233333333333
"Sbicolor_v3.1.1_Ca_9_56509105","OG0002041","Ca","Sobic.009G221600","Sbicolor_v3.1.1",9,56509105,56409105,56609105,56472162,56474856,"similar to Putative uncharacterized protein P0560C03.4",5,13,0.923076923076923,0.087,0.0702307692307692,0.744446153846154
"Osativa_v7.0_Ca_5_27431007","OG0002041","Ca","LOC_Os05g47670","Osativa_v7.0",5,27431007,27188007,27674007,27317413,27320555,"zinc finger, C3HC4 type domain containing protein, expressed",5,29,0.96551724137931,0.095,0.0312068965517241,0.730241379310345
"Gmax_Wm82.a2.v1_Ca_10_3966761","OG0002784","Ca","Glyma.10G042300","Gmax_Wm82.a2.v1",10,3966761,3766761,4166761,3771569,3776706,"PTHR21726//PTHR21726:SF36 - PHOSPHATIDYLINOSITOL N-ACETYLGLUCOSAMINYLTRANSFERASE SUBUNIT P  DOWN SYNDROME CRITICAL REGION PROTEIN 5 -RELATED // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.153103448275862,0.67751724137931,0.67751724137931
"Gmax_Wm82.a2.v1_Ca_11_33309696","OG0001224","Ca","Glyma.11G240200","Gmax_Wm82.a2.v1",11,33309696,33109696,33509696,33456451,33461778,"K01953 - asparagine synthase (glutamine-hydrolysing) (asnB, ASNS)  (1 of 7)",4,1,0,0.153103448275862,0.67751724137931,0.67751724137931
"Gmax_Wm82.a2.v1_Ca_13_43346546","OG0000009","Ca","Glyma.13G341600","Gmax_Wm82.a2.v1",13,43346546,43146546,43546546,43331375,43335735,"",4,1,0,0.153103448275862,0.67751724137931,0.67751724137931
"Gmax_Wm82.a2.v1_Ca_18_7739637","OG0011967","Ca","Glyma.18G081800","Gmax_Wm82.a2.v1",18,7739637,7539637,8117371,7931881,7938004,"PTHR24106:SF153 - PROTEIN TORNADO 1 (1 of 2)",4,1,0,0.153103448275862,0.67751724137931,0.67751724137931
