"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Sbicolor_v3.1.1_Fe_10_2451487","OG0000141","Fe","Sobic.010G029500","Sbicolor_v3.1.1",10,2451487,2351487,2551487,2388976,2390254,"Predicted protein",4,1,0,0.3145,0.5484,0.5484
"Sbicolor_v3.1.1_Fe_1_12747807","OG0001998","Fe","Sobic.001G156800","Sbicolor_v3.1.1",1,12747807,12647807,12847807,12679978,12681811,"similar to Iron regulated transporter-like protein",4,1,0,0.3145,0.5484,0.5484
"Sbicolor_v3.1.1_Fe_2_2757617","OG0000009","Fe","Sobic.002G030400","Sbicolor_v3.1.1",2,2757617,2657617,2857617,2792830,2795852,"PF03101//PF04434//PF10551 - FAR1 DNA-binding domain (FAR1)  // SWIM zinc finger (SWIM)  // MULE transposase domain (MULE)  (1 of 27)",4,1,0,0.3145,0.5484,0.5484
"Gmax_Wm82.a2.v1_Fe_10_44667217","OG0003704","Fe","Glyma.10G212400","Gmax_Wm82.a2.v1",10,44667217,44467217,44867217,44497054,44499043,"PTHR32191:SF1 - TETRASPANIN-5-RELATED (1 of 4)",4,1,0,0.35634328358209,0.514925373134328,0.514925373134328
"Gmax_Wm82.a2.v1_Fe_11_11434509","OG0001186","Fe","Glyma.11G146300","Gmax_Wm82.a2.v1",11,11434509,11234509,11649511,11288420,11289463,"K02870 - large subunit ribosomal protein L12e (RP-L12e, RPL12)  (1 of 4)",4,1,0,0.35634328358209,0.514925373134328,0.514925373134328
"Gmax_Wm82.a2.v1_Fe_4_39511809","OG0000661","Fe","Glyma.04G160100","Gmax_Wm82.a2.v1",4,39511809,39311809,39711809,39659936,39663738,"PTHR31673:SF3 - COBRA-LIKE EXTRACELLULAR GLYCOSYL-PHOSPHATIDYL INOSITOL-ANCHORED FAMILY PROTEIN-RELATED (1 of 6)",4,1,0,0.35634328358209,0.514925373134328,0.514925373134328
"Gmax_Wm82.a2.v1_Fe_6_27936","OG0000009","Fe","Glyma.06G002400","Gmax_Wm82.a2.v1",6,27936,1,314748,213165,218525,"",4,1,0,0.35634328358209,0.514925373134328,0.514925373134328
"Zmays_RefGen_V4_Fe_4_245531202","OG0005693","Fe","Zm00001d054037","Zmays_RefGen_V4",4,245531202,245431175,245631229,245438586,245441410,"(1 of 3) 2.7.1.36 - Mevalonate kinase",5,8,0.875,0.379,0.077625,0.512325
"Zmays_RefGen_V4_Fe_1_262975620","OG0001998","Fe","Zm00001d033446","Zmays_RefGen_V4",1,262975620,262875620,263162540,262975467,262977654,"(1 of 1) PTHR11040//PTHR11040:SF41 - ZINC/IRON TRANSPORTER // ZINC TRANSPORTER 7",4,1,0,0.362647058823529,0.509882352941176,0.509882352941176
"Zmays_RefGen_V4_Fe_7_5225882","OG0000599","Fe","Zm00001d018790","Zmays_RefGen_V4",7,5225882,5125882,5325882,5231194,5232560,"(1 of 6) 1.1.1.79//1.1.1.81 - Glyoxylate reductase (NADP(+)) // Hydroxypyruvate reductase / D-glycerate dehydrogenase",4,1,0,0.362647058823529,0.509882352941176,0.509882352941176
"Osativa_v7.0_Fe_10_9352052","OG0005693","Fe","LOC_Os10g18220","Osativa_v7.0",10,9352052,9109052,9595052,9256244,9261352,"GHMP kinases ATP-binding protein, putative, expressed",5,4,0.75,0.401,0.14975,0.50915
"Sbicolor_v3.1.1_Fe_1_6710943","OG0000661","Fe","Sobic.001G086000","Sbicolor_v3.1.1",1,6710943,6610943,6810943,6659857,6663478,"similar to Phytochelatin synthetase-like protein 1",4,2,0.5,0.3145,0.2742,0.49356
"Sbicolor_v3.1.1_Fe_1_6710943","OG0000661","Fe","Sobic.001G086200","Sbicolor_v3.1.1",1,6710943,6610943,6810943,6667078,6670492,"similar to Brittle stalk-2-like protein 4",4,2,0.5,0.3145,0.2742,0.49356
"Sbicolor_v3.1.1_Fe_3_57959118","OG0004474","Fe","Sobic.003G240500","Sbicolor_v3.1.1",3,57959118,57859118,58059118,57958523,57960470,"similar to Glycosyl transferase family 1 protein-like",4,2,0.5,0.3145,0.2742,0.49356
"Sbicolor_v3.1.1_Fe_7_65417131","OG0000018","Fe","Sobic.007G225900","Sbicolor_v3.1.1",7,65417131,65317131,65517131,65322278,65331632,"PF00069//PF13947 - Protein kinase domain (Pkinase)  // Wall-associated receptor kinase galacturonan-binding (GUB_WAK_bind)  (1 of 27)",4,2,0.5,0.3145,0.2742,0.49356
"Sbicolor_v3.1.1_Fe_8_49124295","OG0000594","Fe","Sobic.008G103700","Sbicolor_v3.1.1",8,49124295,49024295,49224295,49055490,49057464,"similar to Nitrilase-associated protein, putative, expressed",4,2,0.5,0.3145,0.2742,0.49356
"Sbicolor_v3.1.1_Fe_4_63005234","OG0000035","Fe","Sobic.004G288200","Sbicolor_v3.1.1",4,63005234,62905234,63105234,62993451,62997278,"similar to Putative uncharacterized protein",4,3,0.666666666666667,0.3145,0.1828,0.47528
"Sbicolor_v3.1.1_Fe_6_55359867","OG0001186","Fe","Sobic.006G201500","Sbicolor_v3.1.1",6,55359867,55259867,55459867,55279980,55281480,"similar to Putative uncharacterized protein",4,3,0.666666666666667,0.3145,0.1828,0.47528
"Athaliana_TAIR10_Fe_5_9616327","OG0005693","Fe","AT5G27450","Athaliana_TAIR10",5,9616327,9541327,9691327,9690607,9693289,"mevalonate kinase",5,3,0.666666666666667,0.456,0.181333333333333,0.471466666666667
"Sbicolor_v3.1.1_Fe_4_950061","OG0005693","Fe","Sobic.004G012400","Sbicolor_v3.1.1",4,950061,850061,1050061,1029919,1033330,"similar to Mevalonate kinase, putative, expressed",5,7,0.857142857142857,0.432,0.0811428571428571,0.470628571428571
"Sbicolor_v3.1.1_Fe_1_62623894","OG0000141","Fe","Sobic.001G338700","Sbicolor_v3.1.1",1,62623894,62523894,62723894,62635346,62636396,"similar to HAP3-like transcriptional-activator",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_1_68804946","OG0000789","Fe","Sobic.001G401900","Sbicolor_v3.1.1",1,68804946,68704946,68904946,68736151,68738584,"PF07107 - Wound-induced protein WI12 (WI12)  (1 of 2)",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_1_68804946","OG0000789","Fe","Sobic.001G401975","Sbicolor_v3.1.1",1,68804946,68704946,68904946,68750468,68751677,"PF07107 - Wound-induced protein WI12 (WI12)  (1 of 2)",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_2_3053281","OG0000599","Fe","Sobic.002G032900","Sbicolor_v3.1.1",2,3053281,2953281,3153281,3011956,3014621,"similar to B0616E02-H0507E05.12 protein",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_2_3053281","OG0001467","Fe","Sobic.002G033300","Sbicolor_v3.1.1",2,3053281,2953281,3153281,3046128,3051226,"similar to Os07g0147800 protein",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_2_75792232","OG0001142","Fe","Sobic.002G408100","Sbicolor_v3.1.1",2,75792232,75692232,75892232,75701739,75706882,"similar to Sodium/hydrogen exchanger",4,4,0.75,0.3145,0.1371,0.46614
"Sbicolor_v3.1.1_Fe_4_51653333","OG0000761","Fe","Sobic.004G167300","Sbicolor_v3.1.1",4,51653333,51553333,51753333,51736984,51738388,"similar to F-box protein-like",4,4,0.75,0.3145,0.1371,0.46614
"Gmax_Wm82.a2.v1_Fe_16_21877110","OG0004474","Fe","Glyma.16G106900","Gmax_Wm82.a2.v1",16,21877110,21677110,22077110,21684419,21686428,"2.4.1.250 - D-inositol-3-phosphate glycosyltransferase / N-acetylglucosamine-inositol-phosphate N-acetylglucosaminyltransferase (1 of 1)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_20_46549921","OG0001142","Fe","Glyma.20G229900","Gmax_Wm82.a2.v1",20,46549921,46349921,46749921,46410285,46416473,"PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER 1-RELATED (1 of 7)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_2_37084251","OG0000661","Fe","Glyma.02G196100","Gmax_Wm82.a2.v1",2,37084251,36884251,37403880,37119590,37121997,"PF04833 - COBRA-like protein (COBRA)  (1 of 24)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_3_4979639","OG0000789","Fe","Glyma.03G041300","Gmax_Wm82.a2.v1",3,4979639,4779639,5260774,5213451,5213891,"PF07107 - Wound-induced protein WI12 (WI12)  (1 of 8)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_6_49552884","OG0000367","Fe","Glyma.06G307600","Gmax_Wm82.a2.v1",6,49552884,49352884,49752884,49630897,49632096,"PTHR24361:SF380 - MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 17-RELATED (1 of 3)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_7_39776460","OG0001998","Fe","Glyma.07G223200","Gmax_Wm82.a2.v1",7,39776460,39576460,39976460,39974055,39982046,"PTHR11040:SF48 - ZINC TRANSPORTER 10-RELATED (1 of 2)",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Gmax_Wm82.a2.v1_Fe_8_18678010","OG0000009","Fe","Glyma.08G227500","Gmax_Wm82.a2.v1",8,18678010,18478010,18878010,18518682,18527092,"",4,2,0.5,0.35634328358209,0.257462686567164,0.463432835820896
"Sbicolor_v3.1.1_Fe_1_75416740","OG0000009","Fe","Sobic.001G482200","Sbicolor_v3.1.1",1,75416740,75316740,75516740,75389434,75394179,"similar to Transposon protein, putative, unclassified, expressed",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_60529278","OG0000367","Fe","Sobic.003G268700","Sbicolor_v3.1.1",3,60529278,60429278,60629278,60531879,60533602,"PTHR24361//PTHR24361:SF407 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED (1 of 1)",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_60529278","OG0000367","Fe","Sobic.003G268800","Sbicolor_v3.1.1",3,60529278,60429278,60629278,60567216,60569238,"PTHR24361//PTHR24361:SF416 - MITOGEN-ACTIVATED KINASE KINASE KINASE // SUBFAMILY NOT NAMED (1 of 1)",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_60529278","OG0000367","Fe","Sobic.003G268900","Sbicolor_v3.1.1",3,60529278,60429278,60629278,60572698,60575521,"similar to Os01g0699500 protein",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_60529278","OG0000367","Fe","Sobic.003G269000","Sbicolor_v3.1.1",3,60529278,60429278,60629278,60581378,60582962,"similar to Os01g0699600 protein",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_60529278","OG0003344","Fe","Sobic.003G269400","Sbicolor_v3.1.1",3,60529278,60429278,60629278,60614062,60621092,"similar to Zinc finger protein-like",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_68768065","OG0000059","Fe","Sobic.003G373000","Sbicolor_v3.1.1",3,68768065,68668065,68868065,68836127,68838298,"similar to Putative uncharacterized protein",4,5,0.8,0.3145,0.10968,0.460656
"Sbicolor_v3.1.1_Fe_3_68768065","OG0002532","Fe","Sobic.003G372400","Sbicolor_v3.1.1",3,68768065,68668065,68868065,68769043,68773012,"similar to Putative amidophosphoribosyltransferase",4,5,0.8,0.3145,0.10968,0.460656
"Zmays_RefGen_V4_Fe_7_179068172","OG0001142","Fe","Zm00001d022504","Zmays_RefGen_V4",7,179068172,178968172,179430350,179047417,179052457,"(1 of 1) PTHR10110//PTHR10110:SF117 - SODIUM/HYDROGEN EXCHANGER // SODIUM/HYDROGEN EXCHANGER 1-RELATED",4,2,0.5,0.362647058823529,0.254941176470588,0.458894117647059
"Sbicolor_v3.1.1_Fe_3_72310520","OG0000074","Fe","Sobic.003G416900","Sbicolor_v3.1.1",3,72310520,72210520,72410647,72295310,72298077,"similar to Putative esterase",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_3_72310520","OG0000074","Fe","Sobic.003G417000","Sbicolor_v3.1.1",3,72310520,72210520,72410647,72298227,72301808,"PF00561//PF12697 - alpha/beta hydrolase fold (Abhydrolase_1)  // Alpha/beta hydrolase family (Abhydrolase_6)  (1 of 1)",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_3_72310520","OG0000074","Fe","Sobic.003G417100","Sbicolor_v3.1.1",3,72310520,72210520,72410647,72303166,72304574,"3.1.1.78 - Polyneuridine-aldehyde esterase / Polyneuridine aldehyde esterase (1 of 6)",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_3_72310520","OG0000074","Fe","Sobic.003G417200","Sbicolor_v3.1.1",3,72310520,72210520,72410647,72306082,72307784,"similar to Esterase PIR7B",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_3_72310520","OG0004754","Fe","Sobic.003G416400","Sbicolor_v3.1.1",3,72310520,72210520,72410647,72253139,72258043,"similar to Putative WD repeat domain 45",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_9_2443687","OG0003704","Fe","Sobic.009G027200","Sbicolor_v3.1.1",9,2443687,2343687,2543687,2434984,2438761,"similar to Putative senescence-associated protein",4,6,0.833333333333333,0.3145,0.0914,0.457
"Sbicolor_v3.1.1_Fe_9_50616494","OG0000059","Fe","Sobic.009G148100","Sbicolor_v3.1.1",9,50616494,50516494,50716494,50525251,50526573,"PTHR10641//PTHR10641:SF617 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 2)",4,6,0.833333333333333,0.3145,0.0914,0.457
