"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Athaliana_TAIR10_Rb_3_184499","OG0000182","Rb","AT3G01530","Athaliana_TAIR10",3,184499,109499,259499,210119,211804,"myb domain protein 57",4,4,0.75,0.234,0.1532,0.52088
"Athaliana_TAIR10_Rb_1_26692810","OG0000717","Rb","AT1G70790","Athaliana_TAIR10",1,26692810,26617810,26767810,26700412,26702346,"Calcium-dependent lipid-binding (CaLB domain) family protein",4,5,0.8,0.234,0.12256,0.514752
"Athaliana_TAIR10_Rb_1_26692810","OG0000717","Rb","AT1G70800","Athaliana_TAIR10",1,26692810,26617810,26767810,26702705,26703790,"Calcium-dependent lipid-binding (CaLB domain) family protein",4,5,0.8,0.234,0.12256,0.514752
"Athaliana_TAIR10_Rb_1_26692810","OG0000717","Rb","AT1G70810","Athaliana_TAIR10",1,26692810,26617810,26767810,26704130,26705236,"Calcium-dependent lipid-binding (CaLB domain) family protein",4,5,0.8,0.234,0.12256,0.514752
"Athaliana_TAIR10_Rb_5_7589711","OG0007925","Rb","AT5G22770","Athaliana_TAIR10",5,7589711,7514711,7664711,7579263,7588249,"alpha-adaptin",4,6,0.833333333333333,0.234,0.102133333333333,0.510666666666667
"Athaliana_TAIR10_Rb_5_7589711","OG0007925","Rb","AT5G22780","Athaliana_TAIR10",5,7589711,7514711,7664711,7589854,7598049,"Adaptor protein complex AP-2, alpha subunit",4,6,0.833333333333333,0.234,0.102133333333333,0.510666666666667
"Gmax_Wm82.a2.v1_Rb_17_2731019","OG0000182","Rb","Glyma.17G037500","Gmax_Wm82.a2.v1",17,2731019,2531019,2931019,2748465,2751003,"PTHR10641//PTHR10641:SF594 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 2)",4,1,0,0.369285714285714,0.504571428571429,0.504571428571429
"Gmax_Wm82.a2.v1_Rb_7_34208858","OG0000182","Rb","Glyma.07G180200","Gmax_Wm82.a2.v1",7,34208858,34008858,35011959,34563001,34563711,"PTHR10641:SF568 - ATMYB2 (1 of 5)",4,1,0,0.369285714285714,0.504571428571429,0.504571428571429
"Gmax_Wm82.a2.v1_Rb_10_1105374","OG0000182","Rb","Glyma.10G010300","Gmax_Wm82.a2.v1",10,1105374,905374,1677456,976000,977159,"PTHR10641:SF568 - ATMYB2 (1 of 5)",4,3,0.666666666666667,0.369285714285714,0.168190476190476,0.437295238095238
"Gmax_Wm82.a2.v1_Rb_10_1105374","OG0000182","Rb","Glyma.10G010400","Gmax_Wm82.a2.v1",10,1105374,905374,1677456,983901,985551,"PTHR10641:SF494 - TRANSCRIPTION FACTOR MYB108 (1 of 4)",4,3,0.666666666666667,0.369285714285714,0.168190476190476,0.437295238095238
"Gmax_Wm82.a2.v1_Rb_18_3222276","OG0000717","Rb","Glyma.18G039700","Gmax_Wm82.a2.v1",18,3222276,3022276,3727395,3232410,3235002,"PTHR23180//PTHR23180:SF285 - CENTAURIN/ARF // SUBFAMILY NOT NAMED (1 of 2)",4,3,0.666666666666667,0.369285714285714,0.168190476190476,0.437295238095238
"Zmays_RefGen_V4_Rb_4_2592052","OG0000182","Rb","Zm00001d048647","Zmays_RefGen_V4",4,2592052,2492052,2692052,2600276,2602518,"(1 of 1) PTHR10641//PTHR10641:SF548 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED",4,2,0.5,0.397,0.2412,0.43416
"Gmax_Wm82.a2.v1_Rb_13_40807233","OG0007925","Rb","Glyma.13G320200","Gmax_Wm82.a2.v1",13,40807233,40607233,41890241,41460580,41472184,"K11824 - AP-2 complex subunit alpha (AP2A)  (1 of 2)",4,5,0.8,0.369285714285714,0.100914285714286,0.42384
"Zmays_RefGen_V4_Rb_3_221180971","OG0000717","Rb","Zm00001d044179","Zmays_RefGen_V4",3,221180971,221080970,221403147,221238399,221241312,"(1 of 2) PTHR23180//PTHR23180:SF273 - CENTAURIN/ARF // SUBFAMILY NOT NAMED",4,3,0.666666666666667,0.397,0.1608,0.41808
"Zmays_RefGen_V4_Rb_9_157569049","OG0007925","Rb","Zm00001d048511","Zmays_RefGen_V4",9,157569049,157469049,157669049,157574208,157592508,"(1 of 2) K11824 - AP-2 complex subunit alpha (AP2A)",4,3,0.666666666666667,0.397,0.1608,0.41808
"Gmax_Wm82.a2.v1_Rb_19_49352315","OG0000182","Rb","Glyma.19G264200","Gmax_Wm82.a2.v1",19,49352315,49152315,50809510,50731445,50733768,"",4,7,0.857142857142857,0.369285714285714,0.0720816326530612,0.418073469387755
"Sbicolor_v3.1.1_Rb_5_70279847","OG0000182","Rb","Sobic.005G217200","Sbicolor_v3.1.1",5,70279847,70179847,70379847,70279397,70284523,"similar to Myb transcription factor JAMyb",4,3,0.666666666666667,0.428666666666667,0.152355555555555,0.396124444444444
"Sbicolor_v3.1.1_Rb_1_7164734","OG0000232","Rb","Sobic.001G094400","Sbicolor_v3.1.1",1,7164734,7064734,7264734,7248888,7251372,"PTHR23050//PTHR23050:SF198 - CALCIUM BINDING PROTEIN // SUBFAMILY NOT NAMED (1 of 1)",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_2_5038335","OG0001209","Rb","Sobic.002G053600","Sbicolor_v3.1.1",2,5038335,4938335,5138335,5088853,5093546,"PF01633 - Choline/ethanolamine kinase (Choline_kinase)  (1 of 1)",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_2_69104766","OG0012166","Rb","Sobic.002G318800","Sbicolor_v3.1.1",2,69104766,69004766,69204766,69089580,69093163,"similar to DEAD-box ATP-dependent RNA helicase 32",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_4_54609234","OG0011774","Rb","Sobic.004G193300","Sbicolor_v3.1.1",4,54609234,54509234,54709234,54510239,54520458,"similar to Chromosome chr14 scaffold_21, whole genome shotgun sequence",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_5_15890680","OG0000297","Rb","Sobic.005G097900","Sbicolor_v3.1.1",5,15890680,15790680,15990680,15793303,15804963,"similar to Transporter, putative, expressed",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_5_68173922","OG0001901","Rb","Sobic.005G196800","Sbicolor_v3.1.1",5,68173922,68073922,68273922,68196972,68199030,"similar to Os12g0514100 protein",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_6_56546985","OG0004786","Rb","Sobic.006G217800","Sbicolor_v3.1.1",6,56546985,56446985,56646985,56525941,56527905,"similar to OSJNBa0058K23.6 protein",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_7_2165761","OG0006759","Rb","Sobic.007G023800","Sbicolor_v3.1.1",7,2165761,2065761,2265761,2139044,2143357,"similar to DEAD-box ATP-dependent RNA helicase 42",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_8_6146156","OG0003154","Rb","Sobic.008G058200","Sbicolor_v3.1.1",8,6146156,6046156,6246156,6064188,6072173,"similar to Putative uncharacterized protein",3,1,0,0.346921348314607,0.391847191011236,0.391847191011236
"Sbicolor_v3.1.1_Rb_1_79892248","OG0007925","Rb","Sobic.001G534800","Sbicolor_v3.1.1",1,79892248,79792248,79992248,79822423,79833727,"similar to Adaptin N terminal region family protein, expressed",4,4,0.75,0.428666666666667,0.114266666666667,0.388506666666667
"Sbicolor_v3.1.1_Rb_3_56273036","OG0000717","Rb","Sobic.003G225900","Sbicolor_v3.1.1",3,56273036,56173036,56373036,56238857,56240954,"similar to C2 domain-containing protein-like",4,5,0.8,0.428666666666667,0.0914133333333333,0.383936
"Sbicolor_v3.1.1_Rb_10_54138751","OG0000490","Rb","Sobic.010G197300","Sbicolor_v3.1.1",10,54138751,54038751,54238751,54044273,54050703,"K13680 - beta-mannan synthase [EC:2.4.1.32] Man b1-4 Man (CSLA)  (1 of 8)",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_10_54138751","OG0000745","Rb","Sobic.010G199200","Sbicolor_v3.1.1",10,54138751,54038751,54238751,54233583,54235989,"similar to Putative uncharacterized protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_2_75217695","OG0010569","Rb","Sobic.002G401000","Sbicolor_v3.1.1",2,75217695,75117695,75317695,75159481,75162499,"PF03350 - Uncharacterized protein family, UPF0114 (UPF0114)  (1 of 3)",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_2_75217695","OG0011676","Rb","Sobic.002G402500","Sbicolor_v3.1.1",2,75217695,75117695,75317695,75270249,75274859,"similar to Os07g0658200 protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_3_57700469","OG0000707","Rb","Sobic.003G238000","Sbicolor_v3.1.1",3,57700469,57600469,57800469,57764407,57768648,"similar to Putative uncharacterized protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_3_57700469","OG0003150","Rb","Sobic.003G237500","Sbicolor_v3.1.1",3,57700469,57600469,57800469,57692008,57692271,"",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_3_60400206","OG0000059","Rb","Sobic.003G267400","Sbicolor_v3.1.1",3,60400206,60300206,60500206,60404186,60405649,"PTHR10641//PTHR10641:SF455 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 1)",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_3_60400206","OG0010487","Rb","Sobic.003G268300","Sbicolor_v3.1.1",3,60400206,60300206,60500206,60496677,60502794,"similar to Os01g0698100 protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_5_3055160","OG0002268","Rb","Sobic.005G034100","Sbicolor_v3.1.1",5,3055160,2955160,3155160,3079494,3083070,"similar to Expressed protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_5_3055160","OG0002459","Rb","Sobic.005G034700","Sbicolor_v3.1.1",5,3055160,2955160,3155160,3111650,3119607,"similar to Expressed protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_6_51517798","OG0005958","Rb","Sobic.006G157000","Sbicolor_v3.1.1",6,51517798,51417798,51617798,51588198,51599063,"similar to Adenylosuccinate lyase, putative, expressed",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_6_51517798","OG0007923","Rb","Sobic.006G155000","Sbicolor_v3.1.1",6,51517798,51417798,51617798,51452588,51455947,"similar to OSIGBa0115K01-H0319F09.12 protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_9_57734960","OG0000707","Rb","Sobic.009G240900","Sbicolor_v3.1.1",9,57734960,57634960,57834960,57805385,57809048,"similar to Putative uncharacterized protein",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_9_57734960","OG0010362","Rb","Sobic.009G238700","Sbicolor_v3.1.1",9,57734960,57634960,57834960,57662408,57667376,"similar to Putative uncharacterized protein OJ1735_C10.12",3,2,0.5,0.346921348314607,0.195923595505618,0.352662471910112
"Sbicolor_v3.1.1_Rb_1_78180859","OG0006333","Rb","Sobic.001G515000","Sbicolor_v3.1.1",1,78180859,78080859,78280859,78206324,78210873,"similar to B0403H10-OSIGBa0105A11.23 protein",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_1_78180859","OG0007583","Rb","Sobic.001G513600","Sbicolor_v3.1.1",1,78180859,78080859,78280859,78091255,78093277,"similar to 24-methylenesterol C-methyltransferase 2",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_1_78180859","OG0008713","Rb","Sobic.001G515600","Sbicolor_v3.1.1",1,78180859,78080859,78280859,78243145,78248498,"",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_4_64973072","OG0000929","Rb","Sobic.004G312800","Sbicolor_v3.1.1",4,64973072,64873072,65073072,64961831,64964758,"similar to Dual-specificity phosphatase protein",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_4_64973072","OG0003973","Rb","Sobic.004G313200","Sbicolor_v3.1.1",4,64973072,64873072,65073072,64995627,64999361,"similar to Beta-1,3-glucanase precursor",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_4_64973072","OG0005312","Rb","Sobic.004G312400","Sbicolor_v3.1.1",4,64973072,64873072,65073072,64924790,64938752,"K02365 - separase (ESP1)  (1 of 2)",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_5_70279847","OG0000196","Rb","Sobic.005G217400","Sbicolor_v3.1.1",5,70279847,70179847,70379847,70329679,70330306,"PF00847 - AP2 domain (AP2)  (1 of 171)",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_5_70279847","OG0002701","Rb","Sobic.005G217101","Sbicolor_v3.1.1",5,70279847,70179847,70379847,70277043,70279175,"K01051 - pectinesterase (E3.1.1.11)  (1 of 24)",3,3,0.666666666666667,0.346921348314607,0.130615730337079,0.339600898876404
"Sbicolor_v3.1.1_Rb_1_79892248","OG0000521","Rb","Sobic.001G535400","Sbicolor_v3.1.1",1,79892248,79792248,79992248,79889289,79891611,"similar to Remorin, C-terminal region family protein, expressed",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_1_79892248","OG0002453","Rb","Sobic.001G536100","Sbicolor_v3.1.1",1,79892248,79792248,79992248,79944697,79947861,"similar to LysM domain containing protein, expressed",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_1_79892248","OG0003520","Rb","Sobic.001G535500","Sbicolor_v3.1.1",1,79892248,79792248,79992248,79892467,79907292,"6.3.2.17 - Tetrahydrofolate synthase / Tetrahydrofolylpolyglutamate synthase (1 of 2)",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_3_70839403","OG0000762","Rb","Sobic.003G399400","Sbicolor_v3.1.1",3,70839403,70739403,70939403,70847267,70849034,"",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_3_70839403","OG0002996","Rb","Sobic.003G400000","Sbicolor_v3.1.1",3,70839403,70739403,70939403,70869979,70873116,"PTHR12174//PTHR12174:SF44 - SIGNAL PEPTIDE PEPTIDASE // SUBFAMILY NOT NAMED (1 of 1)",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_3_70839403","OG0004212","Rb","Sobic.003G398300","Sbicolor_v3.1.1",3,70839403,70739403,70939403,70774992,70777358,"similar to Magmas-like protein",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Sbicolor_v3.1.1_Rb_3_70839403","OG0007691","Rb","Sobic.003G398100","Sbicolor_v3.1.1",3,70839403,70739403,70939403,70744265,70749082,"",3,4,0.75,0.346921348314607,0.097961797752809,0.333070112359551
"Gmax_Wm82.a2.v1_Rb_10_296165","OG0000232","Rb","Glyma.10G002200","Gmax_Wm82.a2.v1",10,296165,96165,499837,243597,246211,"PTHR23050 - CALCIUM BINDING PROTEIN (1 of 35)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_11_14329179","OG0000193","Rb","Glyma.11G160000","Gmax_Wm82.a2.v1",11,14329179,14129179,14667855,14640914,14643562,"PTHR31867:SF22 - EXPANSIN-A8 (1 of 7)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_11_2054710","OG0000270","Rb","Glyma.11G030200","Gmax_Wm82.a2.v1",11,2054710,1854710,2254710,2188990,2191389,"PTHR10641:SF674 - MYB DOMAIN PROTEIN 42 (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_11_32276359","OG0001817","Rb","Glyma.11G252800","Gmax_Wm82.a2.v1",11,32276359,32076359,34423892,34378140,34379759,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_13_14525702","OG0011272","Rb","Glyma.13G055300","Gmax_Wm82.a2.v1",13,14525702,14325702,15383485,15237358,15240608,"PF10250 - GDP-fucose protein O-fucosyltransferase (O-FucT)  (1 of 83)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_13_43220826","OG0001502","Rb","Glyma.13G343800","Gmax_Wm82.a2.v1",13,43220826,43020826,43646694,43504015,43506092,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_14_4692620","OG0005958","Rb","Glyma.14G062500","Gmax_Wm82.a2.v1",14,4692620,4492620,5313146,5085897,5090921,"K01756 - adenylosuccinate lyase (purB, ADSL)  (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_15_40336111","OG0000297","Rb","Glyma.15G224200","Gmax_Wm82.a2.v1",15,40336111,40136111,41176845,40827323,40836767,"KOG2615 - Permease of the major facilitator superfamily (1 of 9)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_15_41622105","OG0000255","Rb","Glyma.15G226000","Gmax_Wm82.a2.v1",15,41622105,41422105,41847203,41535814,41535963,"PF04520 - Senescence regulator (Senescence_reg)  (1 of 30)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_15_47329128","OG0011283","Rb","Glyma.15G248100","Gmax_Wm82.a2.v1",15,47329128,47129128,47832632,47312804,47315441,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_15_4916033","OG0002621","Rb","Glyma.15G064200","Gmax_Wm82.a2.v1",15,4916033,4716033,5191877,4881333,4882827,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_15_50721694","OG0010569","Rb","Glyma.15G276700","Gmax_Wm82.a2.v1",15,50721694,50521694,51753804,51578950,51593999,"PF03350 - Uncharacterized protein family, UPF0114 (UPF0114)  (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_16_31156608","OG0003470","Rb","Glyma.16G151400","Gmax_Wm82.a2.v1",16,31156608,30956608,32030028,31186966,31189736,"PTHR11782//PTHR11782:SF50 - ADENOSINE/GUANOSINE DIPHOSPHATASE // SUBFAMILY NOT NAMED (1 of 7)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_16_34382724","OG0000928","Rb","Glyma.16G182100","Gmax_Wm82.a2.v1",16,34382724,34182724,34582724,34290037,34295432,"PTHR21493//PTHR21493:SF128 - CGI-141-RELATED/LIPASE CONTAINING PROTEIN // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_16_5503867","OG0001915","Rb","Glyma.16G056300","Gmax_Wm82.a2.v1",16,5503867,5303867,6387732,5525909,5527534,"K10808 - ribonucleoside-diphosphate reductase subunit M2 (RRM2)  (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_16_6682898","OG0007691","Rb","Glyma.16G071000","Gmax_Wm82.a2.v1",16,6682898,6482898,7230639,7097619,7123157,"3.6.3.43 - Peptide-transporting ATPase (1 of 13)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_16_7604878","OG0001715","Rb","Glyma.16G075400","Gmax_Wm82.a2.v1",16,7604878,7404878,9038895,7599961,7606068,"K08488 - syntaxin 7 (STX7)  (1 of 6)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_17_12649595","OG0005451","Rb","Glyma.17G152900","Gmax_Wm82.a2.v1",17,12649595,12449595,13312981,12796539,12801945,"PTHR19282//PTHR19282:SF262 - TETRASPANIN // SUBFAMILY NOT NAMED (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_17_2240905","OG0000059","Rb","Glyma.17G031600","Gmax_Wm82.a2.v1",17,2240905,2040905,2440905,2310290,2312686,"PTHR10641:SF203 - MYB DOMAIN PROTEIN 11-RELATED (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_17_40561123","OG0012944","Rb","Glyma.17G253900","Gmax_Wm82.a2.v1",17,40561123,40361123,40849315,40774876,40782121,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_17_7913612","OG0000193","Rb","Glyma.17G101400","Gmax_Wm82.a2.v1",17,7913612,7713612,8113612,7956697,7960511,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_18_1849202","OG0003520","Rb","Glyma.18G034200","Gmax_Wm82.a2.v1",18,1849202,1649202,2666744,2635947,2643619,"K01930 - folylpolyglutamate synthase (FPGS)  (1 of 4)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_18_28328656","OG0000762","Rb","Glyma.18G152300","Gmax_Wm82.a2.v1",18,28328656,28128656,29000499,28896748,28899740,"",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_18_33092623","OG0006169","Rb","Glyma.18G156300","Gmax_Wm82.a2.v1",18,33092623,32892623,36247849,34235189,34252546,"K03109 - signal recognition particle subunit SRP9 (SRP9)  (1 of 3)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_18_44278663","OG0000067","Rb","Glyma.18G183000","Gmax_Wm82.a2.v1",18,44278663,44078663,44805440,44117630,44120303,"PTHR11697//PTHR11697:SF113 - GENERAL TRANSCRIPTION FACTOR 2-RELATED ZINC FINGER PROTEIN // SUBFAMILY NOT NAMED (1 of 5)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_19_3193205","OG0002621","Rb","Glyma.19G025400","Gmax_Wm82.a2.v1",19,3193205,2993205,3393205,3185417,3188154,"PTHR33971:SF1 - GENOMIC DNA, CHROMOSOME 3, P1 CLONE:MRI12 (1 of 1)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_19_36140789","OG0003470","Rb","Glyma.19G108500","Gmax_Wm82.a2.v1",19,36140789,35940789,36342796,36108880,36123356,"K14641 - apyrase (APY1_2)  (1 of 6)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_19_36688411","OG0000226","Rb","Glyma.19G111300","Gmax_Wm82.a2.v1",19,36688411,36488411,37057501,36555752,36557117,"PTHR24347:SF215 - CBL-INTERACTING SERINE/THREONINE-PROTEIN KINASE 20 (1 of 7)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
"Gmax_Wm82.a2.v1_Rb_19_38049146","OG0000232","Rb","Glyma.19G121900","Gmax_Wm82.a2.v1",19,38049146,37849146,38470468,38015916,38017894,"PTHR23050:SF153 - CALMODULIN-1-RELATED (1 of 6)",3,1,0,0.448575471698113,0.330854716981132,0.330854716981132
