"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Na_11_421061","OG0003671","Na","Glyma.11G007100","Gmax_Wm82.a2.v1",11,421061,221061,639562,502997,506856,"PTHR23257//PTHR23257:SF429 - SERINE-THREONINE PROTEIN KINASE // SUBFAMILY NOT NAMED (1 of 4)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_13_45335445","OG0000049","Na","Glyma.13G369300","Gmax_Wm82.a2.v1",13,45335445,45135445,45535445,45471256,45475788,"PTHR24093:SF355 - ATPASE 1, PLASMA MEMBRANE-TYPE-RELATED (1 of 5)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_19_1855442","OG0000049","Na","Glyma.19G019200","Gmax_Wm82.a2.v1",19,1855442,1655442,2248273,2051713,2060086,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_1_20892406","OG0000624","Na","Glyma.01G079500","Gmax_Wm82.a2.v1",1,20892406,20692406,21092406,20974302,20977697,"PTHR31636:SF11 - SCARECROW-LIKE PROTEIN 22-RELATED (1 of 4)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_1_51151358","OG0000058","Na","Glyma.01G175000","Gmax_Wm82.a2.v1",1,51151358,50951358,51865711,51157055,51161521,"PTHR27001:SF192 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK4 (1 of 4)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_1_54681333","OG0000565","Na","Glyma.01G220600","Gmax_Wm82.a2.v1",1,54681333,54481333,55195177,54974523,54976556,"PTHR19139:SF169 - AQUAPORIN PIP1-4-RELATED (1 of 7)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_4_6089923","OG0000049","Na","Glyma.04G075100","Gmax_Wm82.a2.v1",4,6089923,5889923,6289923,6285850,6293073,"",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_6_46819383","OG0000097","Na","Glyma.06G275800","Gmax_Wm82.a2.v1",6,46819383,46619383,47129994,46677753,46682900,"PTHR24057:SF12 - SHAGGY-RELATED PROTEIN KINASE IOTA-RELATED (1 of 2)",4,1,0,0.221816666666667,0.622546666666667,0.622546666666667
"Gmax_Wm82.a2.v1_Na_11_4741342","OG0000058","Na","Glyma.11G067200","Gmax_Wm82.a2.v1",11,4741342,4541342,5305219,5033165,5037491,"PTHR27001:SF192 - PROLINE-RICH RECEPTOR-LIKE PROTEIN KINASE PERK4 (1 of 4)",4,2,0.5,0.221816666666667,0.311273333333333,0.560292
"Gmax_Wm82.a2.v1_Na_13_16092261","OG0000049","Na","Glyma.13G065400","Gmax_Wm82.a2.v1",13,16092261,15892261,16498245,16468213,16475472,"PTHR24093:SF264 - ATPASE 4, PLASMA MEMBRANE-TYPE (1 of 6)",4,2,0.5,0.221816666666667,0.311273333333333,0.560292
