"loci","Orthogroup","trait","Gene Name","org","Chromosome Name","bp","start","end","Gene Start (bp)","Gene End (bp)","Description","present","genecount","gFDR","pFDR","rank","rank_new"
"Gmax_Wm82.a2.v1_Ni_10_47871389","OG0003702","Ni","Glyma.10G252400","Gmax_Wm82.a2.v1",10,47871389,47671389,49247141,48016484,48020215,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_11_34051569","OG0001773","Ni","Glyma.11G247500","Gmax_Wm82.a2.v1",11,34051569,33851569,34550149,34025665,34027331,"PF06522 - NADH-ubiquinone reductase complex 1 MLRQ subunit (B12D)  (1 of 6)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_11_8102800","OG0000059","Ni","Glyma.11G107100","Gmax_Wm82.a2.v1",11,8102800,7902800,8306372,8171836,8173327,"PTHR10641:SF588 - TRANSCRIPTION REPRESSOR MYB4 (1 of 2)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_12_3391599","OG0000391","Ni","Glyma.12G045300","Gmax_Wm82.a2.v1",12,3391599,3191599,3591599,3289163,3291323,"PTHR30546//PTHR30546:SF8 - FLAVODOXIN-RELATED PROTEIN WRBA-RELATED // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_12_37780450","OG0000391","Ni","Glyma.12G216900","Gmax_Wm82.a2.v1",12,37780450,37580450,38238479,37654433,37659037,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_12_4599923","OG0000107","Ni","Glyma.12G064000","Gmax_Wm82.a2.v1",12,4599923,4399923,5083898,4707197,4709987,"PTHR19375:SF232 - MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 37E-RELATED (1 of 8)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_14_1342110","OG0001357","Ni","Glyma.14G019900","Gmax_Wm82.a2.v1",14,1342110,1142110,1542110,1407205,1410506,"PTHR22298:SF23 - GLYCOSYL HYDROLASE FAMILY 9 PROTEIN (1 of 2)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_15_11338016","OG0000059","Ni","Glyma.15G144000","Gmax_Wm82.a2.v1",15,11338016,11138016,11932152,11843111,11847542,"PTHR10641:SF203 - MYB DOMAIN PROTEIN 11-RELATED (1 of 4)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_15_2323879","OG0012069","Ni","Glyma.15G035100","Gmax_Wm82.a2.v1",15,2323879,2123879,3382673,2800824,2803162,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_15_6910146","OG0000107","Ni","Glyma.15G088000","Gmax_Wm82.a2.v1",15,6910146,6710146,7158630,6758394,6760811,"PTHR19375:SF229 - HEAT SHOCK 70 KDA PROTEIN 5 (1 of 6)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_16_37475915","OG0005019","Ni","Glyma.16G217900","Gmax_Wm82.a2.v1",16,37475915,37275915,38027274,37529163,37533396,"K01177 - beta-amylase (E3.2.1.2)  (1 of 10)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_16_746203","OG0000059","Ni","Glyma.16G007200","Gmax_Wm82.a2.v1",16,746203,546203,982140,594725,596329,"PTHR10641//PTHR10641:SF535 - MYB-LIKE DNA-BINDING PROTEIN MYB // SUBFAMILY NOT NAMED (1 of 2)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_17_5817908","OG0000107","Ni","Glyma.17G072400","Gmax_Wm82.a2.v1",17,5817908,5617908,6017908,5661187,5663608,"PTHR19375:SF229 - HEAT SHOCK 70 KDA PROTEIN 5 (1 of 6)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_18_665442","OG0001773","Ni","Glyma.18G009800","Gmax_Wm82.a2.v1",18,665442,465442,1486863,702106,703575,"PF06522 - NADH-ubiquinone reductase complex 1 MLRQ subunit (B12D)  (1 of 6)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_1_2555747","OG0000304","Ni","Glyma.01G025000","Gmax_Wm82.a2.v1",1,2555747,2355747,2801764,2558045,2560286,"PF04770 - ZF-HD protein dimerisation region (ZF-HD_dimer)  (1 of 53)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_1_51207814","OG0000391","Ni","Glyma.01G177600","Gmax_Wm82.a2.v1",1,51207814,51007814,51415554,51408059,51410519,"PTHR30546:SF3 - MINOR ALLERGEN (1 of 3)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_1_55375763","OG0005679","Ni","Glyma.01G224500","Gmax_Wm82.a2.v1",1,55375763,55175763,55772527,55333807,55339254,"PTHR22950:SF229 - GABA TRANSPORTER 2-RELATED (1 of 2)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_1_56582329","OG0003702","Ni","Glyma.01G240500","Gmax_Wm82.a2.v1",1,56582329,56382329,56782329,56437481,56441707,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_20_2235629","OG0000365","Ni","Glyma.20G022200","Gmax_Wm82.a2.v1",20,2235629,2035629,2626117,2283748,2288776,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_20_37671425","OG0003702","Ni","Glyma.20G141000","Gmax_Wm82.a2.v1",20,37671425,37471425,38006396,37982965,37986611,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_2_2925234","OG0000699","Ni","Glyma.02G030800","Gmax_Wm82.a2.v1",2,2925234,2725234,3379003,2831244,2833073,"PF14009 - Domain of unknown function (DUF4228) (DUF4228)  (1 of 81)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_3_38103441","OG0000107","Ni","Glyma.03G171100","Gmax_Wm82.a2.v1",3,38103441,37903441,39927905,38570656,38573726,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_3_5053056","OG0000134","Ni","Glyma.03G044300","Gmax_Wm82.a2.v1",3,5053056,4853056,5812136,5621064,5622425,"PTHR21495:SF77 - DIRIGENT PROTEIN 19 (1 of 14)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_4_47880378","OG0000059","Ni","Glyma.04G205100","Gmax_Wm82.a2.v1",4,47880378,47680378,48489003,47774700,47776473,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_4_6329113","OG0000271","Ni","Glyma.04G079600","Gmax_Wm82.a2.v1",4,6329113,6129113,6714173,6654150,6658198,"PTHR31236:SF2 - DEHYDRATION-RESPONSIVE PROTEIN RD22 (1 of 11)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_6_114748","OG0009900","Ni","Glyma.06G001100","Gmax_Wm82.a2.v1",6,114748,1,314748,116892,123041,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_6_13346793","OG0000059","Ni","Glyma.06G160500","Gmax_Wm82.a2.v1",6,13346793,13146793,14117815,13248111,13249769,"PTHR10641:SF643 - MYB TRANSCRIPTION FACTOR-RELATED (1 of 3)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_6_15359394","OG0000699","Ni","Glyma.06G184900","Gmax_Wm82.a2.v1",6,15359394,15159394,16065285,16052835,16054615,"PF14009 - Domain of unknown function (DUF4228) (DUF4228)  (1 of 81)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_6_45198354","OG0005353","Ni","Glyma.06G265800","Gmax_Wm82.a2.v1",6,45198354,44998354,45398354,45385217,45387987,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_6_5912387","OG0000271","Ni","Glyma.06G081100","Gmax_Wm82.a2.v1",6,5912387,5712387,6284982,6219290,6223304,"PTHR31236:SF2 - DEHYDRATION-RESPONSIVE PROTEIN RD22 (1 of 11)",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_7_43541477","OG0003050","Ni","Glyma.07G263800","Gmax_Wm82.a2.v1",7,43541477,43341477,44093649,43819736,43826175,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_8_46926845","OG0000365","Ni","Glyma.08G355600","Gmax_Wm82.a2.v1",8,46926845,46726845,47317318,46828498,46831904,"",3,1,0,0.1876,0.48744,0.48744
"Gmax_Wm82.a2.v1_Ni_9_39389918","OG0005019","Ni","Glyma.09G168300","Gmax_Wm82.a2.v1",9,39389918,39189918,39589918,39289290,39293250,"K01177 - beta-amylase (E3.2.1.2)  (1 of 10)",3,1,0,0.1876,0.48744,0.48744
